date,year,Latitude,Longitude,band repeating,band unique,flag code,CHDSex,Wing,NaresTip,Culmen,TotalHead,TarsusDiagonal,mass,trnsmtr? ,breeding.site,site.sex,stable isotope,DNA,Hg,Photos,Notes,Dark green flags with white codes
42865,2017,46.951625,-124.043541,1372,01243,3MT,,176,27.4,38.5,,,111,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01244,3MU,,162,25,32.1,,,117,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01245,3MV,,169,29.8,38.7,,,127,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01247,3MY,,170,25.8,34.5,,,109,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01248,3NA,,173,27.2,36.9,,,121,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01249,3NC,,174,25.8,36.9,,,125,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01250,3NE,,165,25.1,34.3,,,123,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01251,3NH,,175,27.4,37.4,,,121,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01252,3NJ,,176,27.2,36.2,,,115,,,,,,,,,
42865,2017,46.951625,-124.043541,1372,01253,3NL,,172,24,35.1,,,121,,,,,,,,,
