Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge,NumberChicks,Observer,ChickAgeEst,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2011,6KN,1,6/21/2011,18:00,37 MI,,,Brood,,,,3,JRC,,6KN,FELG,,, Found
2011,6KN,2,6/22/2011,15:40,37 MI,,,brood,,,,3,,,6KN,FELG,,, Banded male
2011,6KN,3,6/24/2011,16:05,37 MI,,,brood,,,,3,,,6KN,FELG,,, Check
2011,6KN,4,6/29/2011,14:00,37 MI,,,brood,,,,3,,,6KN,FELG,,, Check
2011,6KT,1,6/30/2011,13:52,Tombstone,64.93356,-166.2090372,brood,,,,1,LHD,,6KT,FELG,,, Found. Male captured and geo'd. Chick measured. Chick ~ 7 d.o.
2011,6KU,1,6/30/2011,16:20,34 MI,64.8231599,-166.036372,brood,,,,4,LHD,,6KU,FELG,,," Male captured, geo deployed, chicks measured. Chicks ~ 4 d.o."
2011,6KV,1,7/1/2011,13:58,34 MI,,,brood,,,,3,NRH,,6KV,FELG,,," Found, geo deployed. Chicks ~ 4 d.o."
2011,6LX,1,6/27/2011,16:23,34 MI,,,brood,,,,4,LHD,,6LX,FELG,,, Banded adult.
2011,6LY,2,6/20/2011,17:23,Tombstone,,,hatch,6/20/2011,Known,0,2,,,6LY,FELG,6KM,FELG,2 chicks and 2 eggs in bowl Captured female
2011,6LY,3,6/21/2011,18:23,Tombstone,,,brood,6/20/2011,Known,1,4,,1,6LY,FELG,6KM,FELG, Captured male
2011,6LY,4,6/22/2011,19:23,Tombstone,,,brood,6/20/2011,Known,2,4,,2,6LY,FELG,6KM,FELG, Check
2011,6LY,5,6/25/2011,20:23,Tombstone,,,brood,6/20/2011,Known,5,2,,5,6LY,FELG,6KM,FELG, Check
2011,6LY,6,6/27/2011,21:23,Tombstone,,,brood,6/20/2011,Known,7,2,,7,6LY,FELG,6KM,FELG, Check
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
