Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge,NumberChicks,Observer,ChickAgeEst,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2018,1EV,1,6/30/2018,11:52,37 MI,64.84357,-166.08382,brood,6/28/2018,Known,2,4,"BMC,LAM,JAJ,CMW",2,1EV,FEDG,,,
2018,1EV,2,7/3/2018,20:51,37 MI,64.84277,-166.08463,brood,6/28/2018,Known,3,4,"JAJ,ZMP,LAM,CMW,CFG",8,1EV,FEDG,,,
2018,1EV,3,7/7/2018,13:16,37 MI,64.84343,-166.10638,brood,6/28/2018,Known,4,3,"LAM,CMW",9,1EV,FEDG,,,
2018,1EV,4,7/11/2018,13:10,37 MI,64.84758,-166.13389,brood,6/28/2018,Known,5,0,"ZMP,LAM,CMW,CFG",,1EV,FEDG,,,
2018,1HE,1,6/25/2018,15:09,34 MI,64.824327,-166.041414,brood,,,,4,"CMW,LAM,JAJ,BMC",2,1HE,FEDG,,,
2018,1HE,2,6/30/2018,16:53,34 MI,64.82407,-166.04378,brood,,,,4,"BMC,LAM,JAJ,CMW",6,1HE,FEDG,,,
2018,1HE,3,7/3/2018,18:44,34 MI,64.82415,-166.05542,brood,,,,3,CMW,8,1HE,FEDG,,,
2018,1HE,4,7/7/2018,13:28,34 MI,64.82415,-166.05542,brood,,,,0,"JAJ,ZMP,CFG,LAM,CMW",,1HE,FEDG,,,
2018,1HE,5,7/7/2018,14:00,34 MI,,,unk,,,,0,"LAM,CMW",,1HE,FEDG,,,
2018,1HE,6,7/8/2018,13:30,34 MI,,,unk,,,,0,JAJ,,1HE,FEDG,,,
2018,1HE,7,7/11/2018,14:20,34 MI,,,unk,,,,0,"ZMP,LAM,CMW,CFG",,1HE,FEDG,,,
2018,1HE,8,7/12/2018,14:24,34 MI,,,unk,,,,0,"ZMP,LAM,CMW",,1HE,FEDG,,,
2018,1HE,9,7/14/2018,15:22,34 MI,,,unk,,,,0,"ZMP,LAM,CMW",,1HE,FEDG,,,
2018,1HJ,1,6/29/2018,12:21,34 MI,64.81281,-165.96061,brood,,,,4,"BMC,LAM,JAJ,CMW",4,1HJ,FEDG,,,
2018,1HJ,2,7/5/2018,12:23,34 MI,64.81317,-165.95892,brood,,,,3,"JAJ,CMW,CFG,LAM,ZMP",12,1HJ,FEDG,,,
2018,1HJ,3,7/7/2018,11:30,34 MI,,,unk,,,,0,"ZMP,JAJ,CFG",,1HJ,FEDG,,,
2018,1HJ,4,7/7/2018,15:01,34 MI,64.81317,-165.95892,brood,,,,4,"CFG,JAJ,ZMP",,1HJ,FEDG,,,
2018,1HJ,5,7/8/2018,15:55,34 MI,64.80578,-165.95653,brood,,,,5,"ZMP,LAM,CFG,CMW",16,1HJ,FEDG,,,
2018,1HJ,6,7/8/2018,16:04,34 MI,64.805846,-165.956432,brood,,,,5,"CMW,ZMP,LAM,JAJ,CFG",14,1HJ,FEDG,,,
2018,1HJ,7,7/12/2018,13:26,34 MI,,,unk,,,,0,"ZMP,LAM,CMW",,1HJ,FEDG,,,
2018,1JK,1,7/5/2018,14:21,Feather East,64.83854,-165.91897,brood,,,,3,"ZMP,LAM,JAJ,CMW,CFG",2,1JK,FEDG,,,
2018,1JP,1,7/6/2018,17:25,Feather Steven,64.85039,-166.00707,brood,,,,3,"JAJ,LAM,ZMP,CMW,CFG",12,1JP,FEDG,,,
2018,1JP,2,7/10/2018,14:07,Feather Steven,64.846735,-166.003505,brood,,,,2,"ZMP,LAM,CMW,CFG",18,1JP,FEDG,,,
2018,1JP,3,7/14/2018,13:05,Feather Steven,64.85106,-166.00526,fledged,,,,1,"ZMP,LAM,CMW",21,1JP,FEDG,,,
2018,1KA,1,6/27/2018,16:06,34 MI,64.82227,-166.03927,brood,,,,4,LAM,2,1KA,FEDG,,,
2018,1KA,2,6/29/2018,14:51,34 MI,64.82131,-166.03662,brood,,,,0,"JAJ,ZMP,LAM,CMW,CFG",0,1KA,FEDG,,,
2018,1KA,3,7/3/2018,19:20,34 MI,64.82275,-166.051055,brood,,,,0,"LAM,ZMP,JAJ,CMW,CFG",0,1KA,FEDG,,,
2018,1KA,4,7/7/2018,11:00,34 MI,,,,,,,0,"LAM,CMW",,1KA,FEDG,,,
2018,1KA,5,7/7/2018,13:59,34 MI,64.82275,-166.051055,brood,,,,0,"CFG,JAJ,ZMP,LAM,CMW",,1KA,FEDG,,,
2018,1KA,6,7/8/2018,20:07,34 MI,64.81504,-166.03443,brood,,,,2,"ZMP,LAM,JAJ,CMW,CFG",18,1KA,FEDG,,,
2018,1KA,7,7/11/2018,14:47,34 MI,64.82202,-166.03384,fledged,,,,1,"ZMP,LAM,CMW,CFG",20,1KA,FEDG,,,
2018,1KA,8,7/13/2018,15:19,34 MI,64.82329,-166.03355,fledged,,,,2,"ZMP,LAM,CMW",21,1KA,FEDG,,,
2018,1KT,1,7/3/2018,13:56,34 MI,64.81553,-165.94747,brood,,,,3,"LAM,ZMP,JAJ,CMW,CFG",6,1KT,FEDG,,,
2018,1KT,2,7/7/2018,11:00,34 MI,,,unk,,,,0,"ZMP,JAJ,CFG",,1KT,FEDG,,,
2018,1KT,3,7/7/2018,15:03,34 MI,,,unk,,,,0,"CFG,JAJ,ZMP",,1KT,FEDG,,,
2018,1KT,4,7/8/2018,11:50,34 MI,,,unk,,,,0,"ZMP,LAM,CMW,CFG",,1KT,FEDG,,,
2018,1KT,5,7/12/2018,13:27,34 MI,,,unk,,,,0,"ZMP,LAM,CMW",,1KT,FEDG,,,
2018,1KU,1,6/28/2018,11:39,37 MI,64.84271,-166.08574,brood,,,,4,"JAJ,LAM,CMW,BMC",4,1KU,FEDG,,,
2018,1KU,2,7/3/2018,22:34,37 MI,64.82479,-166.08463,brood,,,,0,"JAJ,ZMP,LAM,CMW,CFG",0,1KU,FEDG,,,
2018,1KU,3,7/6/2018,13:47,37 MI,64.84025,-166.08001,brood,,,,2,"CFG,CMW,JAJ,LAM,ZMP",12,1KU,FEDG,,,
2018,1KU,4,7/9/2018,11:48,37 MI,64.85256,-166.0827,fledged,,,,2,"ZMP,LAM,CMW,CFG",19,1KU,FEDG,,,
2018,1KU,5,7/13/2018,14:00,37 MI,,,unk,,,,0,"ZMP,LAM,CMW",,1KU,FEDG,,,
2018,1KV,1,7/5/2018,19:01,Feather West,64.84076,-165.96018,brood,,,,3,"CMW,ZMP,LAM,JAJ,CFG",6,1KV,FEDG,,,
2018,1LC,1,7/6/2018,16:24,Feather Steven,64.84848,-166.00077,brood,,,,4,"CMW,CFG,JAJ,LAM,ZMP",16,1LC,FEDG,,,
2018,1LC,2,7/10/2018,12:48,Feather Steven,64.8493,-166.00856,fledged,,,,3,"ZMP,LAM,CMW,CFG",20,1LC,FEDG,,,
2018,1LC,3,7/14/2018,12:07,Feather Steven,64.849506,-165.99554,fledged,,,,3,"ZMP,LAM,CMW",23,1LC,FEDG,,,
2018,1LE,1,7/6/2018,18:45,Feather Steven,64.85016,-165.99445,brood,,,,4,"CFG,CMW,JAJ,LAM,ZMP",16,1LE,FEDG,,,
2018,1LE,2,7/10/2018,13:37,Feather Steven,64.8478,-166.01119,fledged,,,,4,"ZMP,LAM,CMW,CFG",22,1LE,FEDG,,,
2018,1LE,3,7/14/2018,11:31,Feather Steven,64.84754,-165.99687,fledged,,,,4,"ZMP,LAM,CMW",27,1LE,FEDG,,,
2018,1LH,1,7/2/2018,12:06,Barrel,64.71562,-165.76824,brood,,,,3,"LAM,ZMP,JAJ,CMW,CFG",5,1LH,FEDG,,,
2018,1LH,2,7/3/2018,22:44,Barrel,64.71609,-165.77226,brood,,,,3,"JAJ,LAM,CMW,ZMP,CFG",4,1LH,FEDG,,,
2018,1LH,3,7/7/2018,18:07,Barrel,64.70587,-165.7741574,brood,,,,2,"JAJ,CMW,CFG,LAM,ZMP",8,1LH,FEDG,,,
2018,1LH,4,7/11/2018,10:46,Barrel,64.71356,-165.7697,brood,,,,2,"ZMP,LAM,CMW,CFG",13,1LH,FEDG,,,
2018,1LH,5,7/15/2018,11:47,Barrel,,,unk,,,,0,"ZMP,LAM,CMW",,1LH,FEDG,,,
