"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"111",2017,"7/8/2017","Alaska","34 MI",64.81297,-165.93578,"C","1LA","FEDG","1LA","FEDG","AHY",,"","","","","ZMP","Adult captured with broodadditional observers - , , , , "
"112",2017,"7/9/2017","Alaska","Steven",64.84706,-166.01289,"C","1LC","FEDG","1LC","FEDG","AHY",,"","","","","LAM","Adult captured with broodadditional observers - , , , , "
"113",2017,"7/9/2017","Alaska","Steven",64.84901,-166.00835,"C","1LE","FEDG","1LE","FEDG","AHY",,"","","","","ZMP","Adult captured with broodadditional observers - , , , , "
"114",2017,"7/10/2017","Alaska","Barrel",64.70962,-165.77161,"C","1LH","FEDG","1LH","FEDG","AHY",,"","","","","LAM","Adult captured with broodadditional observers - , , , , "
"116",2017,"7/7/2017","Alaska","37 MI",64.85048,-166.08102,"R","1EV","FEDG","1EV","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"117",2017,"7/7/2017","Alaska","Tombstone",64.93227,-166.20676,"R","6KT","FELG","6KT","FELG","AHY",,"","","","","JVG","Adult resighted with broodadditional observers - , , , , "
"118",2017,"7/8/2017","Alaska","34 MI",64.81185,-165.9471,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"119",2017,"7/8/2017","Alaska","34 MI",64.81549,-166.01477,"R","6UY","FELG","6UY","FELG","AHY",,"","","","","JVG","Adult resighted with broodadditional observers - , , , , "
"120",2017,"7/10/2017","Alaska","Barrel",64.70962,-165.77161,"R","6UX","FELG","6UX","FELG","AHY",,"","","","","JAJ","Adult resighted with broodadditional observers - , , , , "
"121",2017,"7/10/2017","Alaska","34 MI",64.81647,-166.0192,"R","6UY","FELG","6UY","FELG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"122",2017,"7/11/2017","Alaska","37 MI",64.84594,-166.08102,"R","1EV","FEDG","1EV","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"123",2017,"7/11/2017","Alaska","Tombstone",64.94277,-166.1994,"R","1KY","FEDG","1KY","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"124",2017,"7/11/2017","Alaska","37 MI",64.84594,-166.08102,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","ZMP","Adult resighted with broodadditional observers - , , , , "
"125",2017,"7/12/2017","Alaska","34 MI",64.81383,-165.95528,"R","1HJ","FEDG","1HJ","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"126",2017,"7/12/2017","Alaska","34 MI",64.81577,-165.93137,"R","1LA","FEDG","1LA","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"127",2017,"7/12/2017","Alaska","34 MI",64.81564,-165.99504,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"128",2017,"7/12/2017","Alaska","34 MI",64.81831,-166.03592,"R","6UU","FELG","6UU","FELG","AHY",,"","","","","JAJ","Adult resighted with broodadditional observers - , , , , "
"129",2017,"7/13/2017","Alaska","Steven",64.84374,-166.00343,"R","1LE","FEDG","1LE","FEDG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"130",2017,"7/13/2017","Alaska","34 MI",64.81647,-166.0192,"R","6UY","FELG","6UY","FELG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"131",2017,"7/14/2017","Alaska","37 MI",64.84449,-166.08197,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","LAM","Adult resighted with broodadditional observers - , , , , "
"143",2017,"7/11/2017","Alaska","Tombstone",64.94277,-166.1994,"C","1LJ","FEDG","1LJ","FEDG","L",,"","","","","LAM","Almost flying chickadditional observers - , , , , "
"144",2017,"7/11/2017","Alaska","Tombstone",64.94277,-166.1994,"C","1LK","FEDG","1LK","FEDG","L",,"","","","","JAJ","Almost flying chickadditional observers - , , , , "
"340",2017,"5/29/2017","Alaska","Nome",64.88976227,-166.1419487,"R","6JY","FELG","6JY","FELG","AHY",,"","","","","Sadie Ulman","Flight displays, foraging. On ridge line."
