Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2012,DRR001,6/30/2012,17:13,,64.85292993,-165.93578,DRR,Initial Discovery,incubation,Y,4,0,,,,,,,,,,,,,,,||||||||||||||||||||||||||||40||5|5||5|||||20||25|39|1|10|10||10|||||20||10|||0|10|125|410||
2012,DRR001,7/5/2012,15:30,,64.85292993,-165.93578,LHD,Fate Determined,hatch,Y,1,,,,,,,,,,,,,,Y,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,JAJ001,6/24/2012,17:00,,64.81270996,-165.9489,JAJ,Initial Discovery,incubation,Y,4,0,,,,,,,,,,,,,,,||||||||||||||||||||||||||||20||20||||||||20|||30||38|5|||||||25||2|||0|4|120|357||
2012,JAJ001,6/26/2012,15:00,,64.81270996,-165.9489,LHD,2,Incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,JAJ001,6/29/2012,17:30,,64.81270996,-165.9489,NRH,Fate Determined,hatch,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LDLE001,6/6/2012,18:20,,64.81454182,-165.9633531,LHD,Initial Discovery,incubation,Y,3,0,6KP,FELG,,,,,,,,,,,,,||||||||||||||||||||||||||||20||7|1||5|||||50||10|15||5|||10|||||55||10|||0|10|300|377||
2012,LDLE001,6/7/2012,12:30,,64.81454182,-165.9633531,LHD,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LDLE001,6/13/2012,,,64.81454182,-165.9633531,LHD,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,5/27/2012,17:33,,64.82298,-166.04288,LEP,Initial Discovery,laying,Y,1,0,6LX,FELG,6CU,FELG,5/26/2017,,,,,,,,,,||||||||||||||||||||||||||||||15|1||3|||||61||10||1|13|10||1|||||71||5|||0|10|240|286||
2012,LEP001,5/29/2012,12:15,,64.82298,-166.04288,LEP,2,unknown,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
