Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2012,LEP001,5/31/2012,16:00,,64.82298,-166.04288,LHD,3,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,6/3/2012,14:40,,64.82298,-166.04288,LHD,4,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,6/4/2012,13:00,,64.82298,-166.04288,LHD,5,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,6/7/2012,11:30,,64.82298,-166.04288,BMC,6,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,6/13/2012,,,64.82298,-166.04288,LHD,7,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LEP001,6/15/2012,11:08,,64.82298,-166.04288,LHD,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LHD001,7/1/2012,13:00,,64.81496997,-165.9852599,LHD,Initial Discovery,incubation,Y,4,0,6JN,FELG,,,,,,,,,,,,,||||||||||||||||||||||||||||38||36|2||9|||||15|||30||11|4||30|||||23||2|105|60|0|2|14|338||
2012,LHD001,7/5/2012,17:40,,64.81496997,-165.9852599,LHD,Fate Determined,hatch,Y,1,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,LNL001,6/13/2012,17:00,,64.81678692,-166.0153695,LHD,Initial Discovery,laying,Y,3,0,6JH,FELG,,,6/10/2012,,,,,,,,,,||||||||||||||||||||||||||||45||10|2||3|||||40|||37||5|3||10|||||45|||||0|5|240|335||
2012,LNL001,6/18/2012,12:30,,64.81678692,-166.0153695,LHD,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,5/23/2012,17:11,,64.85189,-166.09251,NRH,Initial Discovery,initiation,Y,0,0,6JY,FELG,6KK,FELG,,,,,,,,,,,||||||||||||||||||||||||||||35||10|5||3|||||42|||10||30|3||7|||||50||1|||0|9|282|308||
2012,NHLE001,5/25/2012,17:17,,64.85189,-166.09251,LEP,2,initiation,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,5/26/2012,13:00,,64.85189,-166.09251,LEP,3,laying,Y,1,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,5/31/2012,17:40,,64.85189,-166.09251,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,6/1/2012,15:00,,64.85189,-166.09251,LHD,5,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,6/3/2012,14:00,,64.85189,-166.09251,LHD,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,6/4/2012,16:00,,64.85189,-166.09251,LHD,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NHLE001,6/15/2012,12:30,,64.85189,-166.09251,LHD,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/2/2012,16:06,,64.82573745,-166.0405434,NRH,Initial Discovery,laying,N,,,6KU,FELG,,,,,,,,,,,,,||||||||||||||||||||||||||||25||1|8||5|||||61|||15||10|3||2|||||70|||||0|15|322|281||
2012,NRH001,6/3/2012,14:30,,64.82573745,-166.0405434,LHD,2,laying,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/4/2012,17:30,,64.82573745,-166.0405434,NRH,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/13/2012,,,64.82573745,-166.0405434,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/15/2012,17:45,,64.82573745,-166.0405434,LHD,5,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/17/2012,12:20,,64.82573745,-166.0405434,LHD,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/18/2012,12:00,,64.82573745,-166.0405434,LHD,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/22/2012,17:30,,64.82573745,-166.0405434,NRH,8,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH001,6/25/2012,,,64.82573745,-166.0405434,LHD,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH002,6/3/2012,17:40,,64.94114863,-166.208197,,Initial Discovery,incubation,Y,4,0,6CV,FELG,6CX,FELG,,,,,,,,,,,||||||||||||||||||||||||||||40|6|23|15||26|||||20|||15|10|2|13||40|||||15|||135|50|0|7|230|204||
2012,NRH002,6/6/2012,14:30,,64.94114863,-166.208197,NRH,2,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH002,6/13/2012,,,64.94114863,-166.208197,NRH,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH002,6/17/2012,14:40,,64.94114863,-166.208197,NRH,4,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH002,6/24/2012,15:30,,64.94114863,-166.208197,NRH,5,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NRH002,6/27/2012,14:23,,64.94114863,-166.208197,JAJ,Fate Determined,unknown,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NW001,7/1/2012,15:00,,64.81553994,-165.93468,NW,Initial Discovery,incubation,Y,3,0,6JT,FELG,6EM,FELG,,,,,,,,,,,||||||||||||||||||||||||||||35|10|5|13||5|||||32|||18|2|16|16||13|||||22||13|104|35|0|4|49|328||
2012,NW001,7/1/2012,17:00,,64.81553994,-165.93468,LHD,2,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NW001,7/1/2012,17:30,,64.81553994,-165.93468,JAJ,3,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NW001,7/2/2012,15:29,,64.81553994,-165.93468,LHD,4,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2012,NW001,7/5/2012,17:30,,64.81553994,-165.93468,NRH,Fate Determined,unknown,Y,0,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
