"","Year","Region","Location","Area","Site","Latitude","Longitude","CaptureDate","CaptureTime","Species","Bander","Scribe","BandSize","MetalIn","FlagColorIn","FlagCodeIn","UpperLeftIn","LowerLeftIn","UpperRightIn","LowerRightIn","MetalOut","FlagColorOut","FlagCodeOut","UpperLeftOut","LowerLeftOut","UpperRightOut","LowerRightOut","TrackerType1","TrackerStatus1","TrackerID1","TrackerType2","TrackerStatus2","TrackerID2","Disposition","Status","Condition","AgeID","HowAged","FieldSex","CHDSex","HowSex","Culmen","CulmenDepth","CulmenWidth","NaresTip","TotalHead","TarsusDiagonal","Wing","p10","p10Exposed","Fat","Weight","CaptureMethod","NestBroodID","ChickAgeType","ChickHatchDate","ChickAge","FeatherCollected","FeatherType","Blood","BloodQuantity","BloodUse","OtherTests","comments.Tot.Tarsus.Covert.p10_length.Covert.p10_exposed.Weight.Cone_wt.RECAPBTWYR.RECAPWINYR.PHOTOS.MATE.MATE_ATTEND.BROOD_SIZE.REL_STATUS.ffm_p1.ffm_p2.ffm_p3.ffm_p4.ffm_p5.ffm_p6.ffm_p7.ffm_p8.ffm_p9.ffm_p10.ffm_s1.ffm_s2.ffm_s3.ffm_s4.ffm_s5.ffm_s6.ffm_s7.ffm_s8.ffm_s9.ffm_s10.tfm_1.tfm_2.tfm_3.tfm_4.tfm_5.tfm_6.bm_head.bm_neck.bm_back.bm_brst.bm_abd.blood_dna.blood_rna"
"41",2011,5,"NOME","TELLER RD","34 MI",64.81634,-166.00508,"5/30/2011","","REKN","LHD","",2,"123233903","FELG","6JE","FELG",,"GEO","M","123233903","FELG","6JE","FELG","","Y","M","GEO","Removed","","","","","R","301","7","ASY","PL","U","","IC",38.3,7.5,5.7,,68.2,34.7,177,,,2,,"Mist","34NEST002","","",,"N","","N","0","","","||||||Y|N||.|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|0|0|N|"
"42",2011,5,"NOME","TELLER RD","Barrel",64.706648,-165.75998,"6/2/2011","","REKN","LHD","",2,"","","","",,"","","123233933","FELG","6KH","FELG","","GEO, DB","M","GEO","New","","","","","1","319","7","AHY","PL","U","F","IC",35.7,7.2,5.1,,66.4,33.3,176,,,2,121.4,"Mist","LHD001","","",,"Y","contour","Y","","DNA","","||||138|16.6|N|N||.|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"43",2011,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/6/2011","","REKN","NRH","",2,"123233917","FELG","6JP","FELG",,"GEO","M","123233917","FELG","6JP","FELG","","DB","M","GEO","Removed","","","","","R","301","7","AHY","PL","M","","BO",34.1,6.7,5.2,,63.2,32.1,170,,,2,122,"Mist","NRH001","","",,"N","","N","0","","","GPS location is not precise||||122|0|Y|N||934|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|N|"
"44",2011,5,"NOME","TELLER RD","37 MI",64.85237,-166.09164,"6/11/2011","","REKN","JRC","",2,"123233928","FELG","6JY","FELG",,"GEO","M","123233928","FELG","6JY","FELG","","Y","M","GEO","Removed","","","","","R","301","7","AHY","PL","M","","BO",,,,,,,,,,1,115.2,"Mist","JRC002","","",,"N","","N","0","","","||||115.2|0|Y|N||935|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|N|"
"45",2011,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/11/2011","","REKN","NRH","",2,"","","","",,"","","123233934","FELG","6KJ","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","F","IC",38.7,7.2,5.2,,68.1,33,175,,,0,125.7,"Mist","NRH001","","",,"Y","contour","Y","","DNA","","GPS location is not precise||||141|15.3|N|N||917|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|9|1|0|0|0|0|0|0|0|0|Y|"
"46",2011,5,"NOME","TELLER RD","37 MI",64.85237,-166.09164,"6/14/2011","","REKN","NRH","",2,"","","","",,"","","123233935","FELG","6KK","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","F","IC",36,7,4.9,,66.4,33.1,178,,,0,126.4,"BowNet","JRC002","","",,"Y","contour","Y","","DNA","","||||143|16.6|N|N||928|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"47",2011,5,"NOME","TELLER RD","Tombstone",64.94636,-166.20527,"6/18/2011","","REKN","JAJ","",2,"123233905","FELG","6JJ","FELG",,"GEO","M","123233905","FELG","6JJ","FELG","","","M","GEO","Removed","","","","","R","301","7","AHY","PL","M","","BO",34.9,6.7,5.5,,66.5,34.5,171,,,2,123.4,"Mist","JAJ001","","",,"N","","N","0","","","||||142|18.6|Y|N|||.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|0|0|0|0|N|"
"48",2011,5,"NOME","TELLER RD","Tombstone",64.93802,-166.21104,"6/20/2011","","REKN","LHD","",2,"","","","",,"","","123233936","FELG","6KL","FELG","","DB","M","","","","","","","1","301","7","AHY","PL","F","","BO",36.7,,,,66,33.9,174,,,1,126.8,"Mist","LHD004","","",,"Y","retricies","N","0","","","all recs dropped during banding. Right wing slightly drooping upon post-release. Paired with dna sexed male||||141.7||N|N||938||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|0|2|2|0|0|0|N|"
"49",2011,5,"NOME","TELLER RD","Tombstone",64.94636,-166.20527,"6/21/2011","","REKN","LHD","",2,"","","","",,"","","123233937","FELG","6KM","FELG","","DB","M","","","","","","","1","319","7","AHY","PL","U","F","IC",35.5,7,5.1,,64.5,,170,,,1,117.1,"Mist","JAJ001","","",,"Y","contour","Y","","DNA","","||||134.6|17.5|N|N||905|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"50",2011,5,"NOME","TELLER RD","Tombstone",64.93802,-166.21104,"6/22/2011","","REKN","LHD","",2,"","","","",,"","","123233938","FELG","6LY","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","M","M","BO",33.2,6.8,5,,63,33,171,,,2,128.8,"Mist","LHD004","","",,"N","","Y","","DNA","","||||146|17.2|N|N||936|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
