"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"3",2016,"7/10/2016","Alaska","Steven",64.84814,-166.01628,"C","1JT","FEDG","1JT","FEDG","AHY",,"","","","","LHD","1JP chickadditional observers -  JAJ,  BWR, , , "
"10",2016,"6/7/2016","Alaska","37 MI",64.85069,-166.09244,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","JVG","A banded bird was observed by Jan today within 100m of where we had 6XN yesterday. So it is assumed that it was the same bird. Jan then found the birds nest!!additional observers - , , , , "
"19",2016,"7/12/2016","Alaska","Tombstone",64.93244,-166.21127,"R","1HT","FEDG","1HT","FEDG","AHY",,"","","","","JAJ","additional observers -  BWR,  LHD,  SGB,  JvG, "
"20",2016,"7/12/2016","Alaska","Tombstone",64.93244,-166.21127,"R","6HX","FELG","6HX","FELG","AHY",,"","","","","JAJ","additional observers -  BWR,  LHD,  SGB,  JvG, "
"21",2016,"7/20/2016","Alaska","37 MI",64.84187,-166.0811,"R","1HN","FEDG","1HN","FEDG","AHY",,"SAT","","New","","SGB","additional observers -  BWR,  LHD, , , "
"22",2016,"7/3/2016","Alaska","Feather",64.84882,-165.94206,"R","1CU","FEDG","1CU","FEDG","AHY",,"SAT","","New","","LHD","additional observers -  BWR, , , , "
"23",2016,"7/3/2016","Alaska","Feather",64.84882,-165.94206,"R","6HE","FELG","6HE","FELG","AHY",,"SAT","","New","","LHD","additional observers -  BWR, , , , "
"24",2016,"7/5/2016","Alaska","Tombstone",64.93253,-166.20613,"R","6HX","FELG","6HX","FELG","AHY",,"","","","","LHD","additional observers -  BWR, , , , "
"25",2016,"7/12/2016","Alaska","Tombstone",64.9327,-166.20523,"C","1HU","FEDG","1HU","FEDG","AHY",,"","","","","JAJ","additional observers -  BWR, , , , "
"26",2016,"7/12/2016","Alaska","Tombstone",64.9327,-166.20523,"C","1HV","FEDG","1HV","FEDG","AHY",,"","","","","JAJ","additional observers -  BWR, , , , "
"27",2016,"7/12/2016","Alaska","Tombstone",64.9327,-166.20523,"R","6KT","FELG","6KT","FELG","AHY",,"SAT","","New","","JAJ","additional observers -  BWR, , , , "
