"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"28",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"R","1HU","FEDG","1HU","FEDG","AHY",,"SAT","","New","","JAJ","additional observers -  BWR, , , , "
"29",2016,"6/16/2016","Alaska","37 MI",64.85152,-166.09987,"C","1EV","FEDG","1EV","FEDG","AHY",,"SAT","","New","","LHD","additional observers -  CWW,  LCW, , , "
"30",2016,"6/24/2016","Alaska","37 MI",64.84956,-166.08739,"R","1ET","FEDG","1ET","FEDG","AHY",,"","","","","LHD","additional observers -  CWW,  LCW, , , "
"31",2016,"6/24/2016","Alaska","37 MI",64.85007,-166.09909,"R","1EV","FEDG","1EV","FEDG","AHY",,"SAT","","Retained","","LHD","additional observers -  CWW,  LCW, , , "
"32",2016,"6/24/2016","Alaska","Tombstone",64.94669,-166.2059,"R","6HX","FELG","6HX","FELG","AHY",,"","","","","LHD","additional observers -  CWW,  LCW, , , "
"39",2016,"7/10/2016","Alaska","Steven",64.84814,-166.01628,"C","1JP","FEDG","1JP","FEDG","AHY",,"SAT","","New","","LHD","additional observers -  JAJ,  BWR, , , "
"40",2016,"7/10/2016","Alaska","Steven",64.84662,-166.0285,"C","1JU","FEDG","1JU","FEDG","AHY",,"","","","","LHD","additional observers -  JAJ,  BWR, , , "
"41",2016,"7/14/2016","Alaska","Steven",64.84443,-166.01465,"R","1JU","FEDG","1JU","FEDG","AHY",,"SAT","","New","","LHD","additional observers -  JAJ,  BWR, , , "
"45",2016,"7/3/2016","Alaska","Tombstone",64.93214,-166.20534,"R","6KT","FELG","6KT","FELG","AHY",,"","","","","SGB","additional observers -  JvG,  BH, , , "
"46",2016,"7/3/2016","Alaska","Tombstone",64.93167,-166.20648,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","SGB","additional observers -  JvG,  BH, , , SGB=Sarah"
"47",2016,"7/6/2016","Alaska","37 MI",64.85763,-166.1124,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","SGB","additional observers -  JvG,  BWR, , , "
"48",2016,"7/2/2016","Alaska","34 MI",64.81178,-165.9481,"R","1HJ","FEDG","1HJ","FEDG","AHY",,"","","","","BWR","additional observers -  JvG, , , , "
"49",2016,"7/5/2016","Alaska","37 MI",64.85837,-166.07056,"R","6JY","FELG","6JY","FELG","AHY",,"","","","","SGB","additional observers -  JvG, , , , "
"50",2016,"6/27/2016","Alaska","37 MI",64.83781,-166.08521,"R","6TM","FELG","6TM","FELG","AHY",,"","","","","CWW","additional observers -  LCW, , , , "
"63",2016,"7/12/2016","Alaska","Tombstone",64.94953,-166.20663,"C","1JX","FEDG","1JX","FEDG","AHY",,"","","","","JAJ","additional observers -  LHD,  JvG,  SGB, , "
"64",2016,"7/6/2016","Alaska","Tombstone",64.93037,-166.20502,"C","1HP","FEDG","1HP","FEDG","AHY",,"","","","","JAJ","additional observers -  LHD,  SGB,  JvG,  BWR, "
"65",2016,"7/6/2016","Alaska","Tombstone",64.93037,-166.20502,"C","1HT","FEDG","1HT","FEDG","AHY",,"","","","","JAJ","additional observers -  LHD,  SGB,  JvG,  BWR, "
"66",2016,"7/6/2016","Alaska","Tombstone",64.93037,-166.20502,"R","6HX","FELG","6HX","FELG","AHY",,"","","","","JAJ","additional observers -  LHD,  SGB,  JvG,  BWR, "
"101",2016,"6/22/2016","Alaska","34 MI",64.82202,-166.04399,"R","1HC","FEDG","1HC","FEDG","AHY",,"","","","","JVG","additional observers -  SGB,  BH, , , "
"102",2016,"7/12/2016","Alaska","34 MI",64.81795,-166.03598,"R","1HE","FEDG","1HE","FEDG","AHY",,"","","","","JvG","additional observers -  SGB,  LHD, , , "
"103",2016,"7/12/2016","Alaska","34 MI",64.81453,-165.92743,"R","1HJ","FEDG","1HJ","FEDG","AHY",,"SAT","","New","","JvG","additional observers -  SGB,  LHD, , , "
"104",2016,"7/12/2016","Alaska","34 MI",64.81795,-166.03598,"R","1JJ","FEDG","1JJ","FEDG","AHY",,"","","","","JvG","additional observers -  SGB,  LHD, , , "
"105",2016,"7/12/2016","Alaska","34 MI",64.81453,-165.92743,"C","1JV","FEDG","1JV","FEDG","AHY",,"","","","","JvG","additional observers -  SGB,  LHD, , , "
"106",2016,"6/27/2016","Alaska","37 MI",64.84935,-166.09938,"R","1EV","FEDG","1EV","FEDG","AHY",,"SAT","","Retained","","LHD","additional observers -  SGB, , , , "
"107",2016,"7/10/2016","Alaska","37 MI",64.8559,-166.11172,"R","1EV","FEDG","1EV","FEDG","AHY",,"SAT","","Retained","","JvG","additional observers -  SGB, , , , "
"108",2016,"7/10/2016","Alaska","37 MI",64.84943,-166.08519,"R","1HN","FEDG","1HN","FEDG","AHY",,"","","","","JvG","additional observers -  SGB, , , , "
"109",2016,"7/10/2016","Alaska","37 MI",64.86388,-166.06633,"R","6JY","FELG","6JY","FELG","AHY",,"","","","","JvG","additional observers -  SGB, , , , "
"134",2016,"5/27/2016","Alaska","34 MI",64.81391,-165.9476,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","NRH","After investigating a distant displaying knot, found 6HV sleeping. Once startled, 6VA appeared nearby and both slowly walked away. Both single males?--TURNS OUT THIS IS A PAIR WITH 6VA AS THE FEMALE! MIND BLOWNadditional observers - , , , , "
"135",2016,"5/27/2016","Alaska","34 MI",64.81397,-165.9475,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","NRH","After investigating a distant displaying knot, found 6HV sleeping. Once startled, 6VA appeared nearby and both slowly walked away. Both single males?--TURNS OUT THIS IS A PAIR WITH 6VA AS THE FEMALE! MIND BLOWNadditional observers - , , , , "
"145",2016,"6/2/2016","Alaska","34 MI",64.81778,-165.99794,"R","6XH","FELG","6XH","FELG","AHY",,"","","","","NRH","Alone today. Maybe incubation has begun?additional observers -  SGB, , , , "
"152",2016,"6/6/2016","Alaska","37 MI",64.85001,-166.09251,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","NRH","Appeared single or on incubation break.additional observers -  JVG, , , , "
"162",2016,"5/30/2016","Alaska","34 MI",64.81293,-165.9542,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","SGB","Appears single today.additional observers -  NRH, , , , "
"163",2016,"5/30/2016","Alaska","34 MI",64.81545,-165.9414,"R","MV","FEDG","MV","FEDG","AHY",,"","","","","NRH","Appears single. Displayed briefly to a passing female who apparently did not care for what he was showing.additional observers - , , , , "
"166",2016,"5/27/2016","Alaska","34 MI",64.8139,-165.9565,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Appears to be single. Displaying on peak.additional observers - , , , , "
"182",2016,"7/31/2016","Alaska","Safety",64.486196,-164.683697,"C","1HX","FEDG","1HX","FEDG","HY",,"SAT","","New","","BWR","Banded in walk-in trap at Safety Sound"
"183",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1HY","FEDG","1HY","FEDG","HY",,"","","","","BWR","Banded in walk-in trap at Safety Sound"
"184",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1JA","FEDG","1JA","FEDG","HY",,"SAT","","New","","LHD","Banded in walk-in trap at Safety Sound"
"185",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1JC","FEDG","1JC","FEDG","HY",,"SAT","","New","","LHD","Banded in walk-in trap at Safety Sound"
"186",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1JE","FEDG","1JE","FEDG","HY",,"SAT","","New","","LHD","Banded in walk-in trap at Safety Sound"
"187",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1KL","FEDG","1KL","FEDG","HY",,"","","","","LHD","Banded in walk-in trap at Safety Sound"
"188",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1KM","FEDG","1KM","FEDG","HY",,"SAT","","New","","BWR","Banded in walk-in trap at Safety Sound"
"189",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1KN","FEDG","1KN","FEDG","HY",,"","","","","BWR","Banded in walk-in trap at Safety Sound"
"190",2016,"8/1/2016","Alaska","Safety",64.486196,-164.683697,"C","1KP","FEDG","1KP","FEDG","HY",,"","","","","BWR","Banded in walk-in trap at Safety Sound"
"206",2016,"6/24/2016","Alaska","37 MI",64.84333,-166.082,"R","6TM","FELG","6TM","FELG","AHY",,"","","","","","Bandedadditional observers - , , , , "
"207",2016,"6/25/2016","Alaska","34 MI",64.82399,-166.03362,"R","1HC","FEDG","1HC","FEDG","AHY",,"","","","","","Bandedadditional observers - , , , , "
"211",2016,"6/16/2016","Alaska","37 MI",64.8526,-166.09203,"C","1EU","FEDG","1EU","FEDG","AHY",,"","","","","JAJ","Bird at JVG001 nestadditional observers - , , , , "
"212",2016,"6/14/2016","Alaska","37 MI",64.8253,-166.03957,"C","1EP","FEDG","1EP","FEDG","AHY",,"","","","","JAJ","Bird at JVG002additional observers - , , , , "
"213",2016,"6/14/2016","Alaska","37 MI",64.81501,-165.95634,"C","1EN","FEDG","1EN","FEDG","AHY",,"","","","","JAJ","Bird at NRH002 nestadditional observers - , , , , "
"214",2016,"6/16/2016","Alaska","37 MI",64.84956,-166.08739,"C","1ET","FEDG","1ET","FEDG","AHY",,"","","","","JAJ","Bird at SGD002 nestadditional observers - , , , , "
"244",2016,"6/20/2016","Alaska","34 MI",64.82399,-166.03362,"C","1HC","FEDG","1HC","FEDG","AHY",,"","","","","JAJ","captured at nest, flaggedadditional observers -  LHD,  JVG, , , "
"246",2016,"6/19/2016","Alaska","37 MI",64.84563,-166.08302,"R","1AU","FEDG","1AU","FEDG","AHY",,"","","","","JAJ","captured on nest, four eggs, eggs switched, large patch applied with radio attached and space for pintpoint in the futureadditional observers -  JVG,  LHD, , , "
"266",2016,"6/20/2016","Alaska","34 MI",64.82249,-166.03275,"R","1HC","FEDG","1HC","FEDG","AHY",,"","","","","JAJ","captured with three of UU's chicks…wtfadditional observers -  LHD,  JVG, , , "
"286",2016,"6/7/2016","Alaska","34 MI",64.81435,-165.95631,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Displayed once over peak, landed and foraged for ~2min and then flew off to the NE of peak singing. Never seen again.additional observers -  SGB, , , , "
"297",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6JH","FELG","1LM","FEDG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"298",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6HE","FELG","6HE","FELG","AHY",,"GEO","","Retained","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"299",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"300",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"301",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6KT","FELG","6KT","FELG","AHY",,"GEO","","Retained","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"302",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"303",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6UH","FELG","6UH","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"304",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6VP","FELG","6VP","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"305",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6XM","FELG","6XM","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"306",2016,"5/5/2016","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6XT","FELG","6XT","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"314",2016,"6/5/2016","Alaska","34 MI",64.81414,-165.9565,"R","6HC","FELG","6HC","FELG","AHY",,"GEO","","Lost","","NRH","Feeding with AMGP near the peak. Seemingly very far away from we would suspect that they should be nesting (near the saddle)!additional observers -  JAJ, , , , "
"316",2016,"5/26/2016","Alaska","37 MI",64.84572,-166.082,"R","226","FEY","226","FEY","AHY",,"","","","","NRH","Female paired with 1AU. UL-Yellow(226) LL-Small Red. Took pictures of the bird's band, but could not detect any characters on it. Must be faded. ---Flag combo detected on 28 May with better photos.additional observers -  SGB, , , , "
"317",2016,"5/31/2016","Alaska","34 MI",64.81703,-165.9982,"R","6XH","FELG","6XH","FELG","AHY",,"","","","","NRH","Female, paired with 6HC. Appears to be from Tombstone! Possible chick?additional observers -  SGB, , , , "
"356",2016,"6/1/2016","Alaska","34 MI",64.81004,-165.9554,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","NRH","Found paired with 6VA (who apparently is a female?!). Lots of slow foraging and some sleeping.additional observers - , , , , "
"367",2016,"6/19/2016","Alaska","37 MI",64.84142,-166.08118,"R","6TM","FELG","6TM","FELG","AHY",,"","","","","JAJ","found with one chick, ca. 2-3 d.o.additional observers -  JVG,  LHD, , , "
"418",2016,"3/28/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6UH","FELG","6UH","FELG","AHY",,"","","","","Adriana","General GPS Location"
"419",2016,"3/31/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6HN","FELG","6HN","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"420",2016,"4/1/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6UH","FELG","6UH","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"421",2016,"4/3/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6UH","FELG","6UH","FELG","AHY",,"","","","","Adriana","General GPS Location"
"422",2016,"4/3/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6UJ","FELG","6UJ","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"423",2016,"4/3/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6VV","FELG","6VV","FELG","AHY",,"","","","","Adriana","General GPS Location"
"424",2016,"4/11/2016","Mexico","Trailer Park/GSC/México",31.73553,-114.6486,"R","1CU","FEDG","1CU","FEDG","AHY",,"","","","","Gabriela","General GPS Location"
"425",2016,"4/11/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"426",2016,"4/12/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.6486,"R","6HN","FELG","6HN","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"427",2016,"4/12/2016","Mexico","Playa Pueblo/GSC/México",31.73553,-114.648629,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"428",2016,"7/12/2016","Alaska","Tombstone",64.93167,-166.20648,"R","1KY","FEDG","1KY","FEDG","AHY",,"GEO","","Removed","","LHD","General GPS location"
"429",2016,"12/17/2016","Mexico","Las Cruces/Guerrero Negro/MEXICO",27.929268,-114.146379,"R","6VJ","FELG","6VJ","FELG","AHY",,"","","","","Sharin Vidal","General GPS Location"
"536",2016,"7/14/2016","Alaska","Steven",64.84814,-166.01628,"C","1KE","FEDG","1KE","FEDG","L",,"","","","","JAJ","General GPS Location"
"540",2016,"7/2/2016","Alaska","34 MI",64.817709,-166.002074,"C","1JJ","FEDG","1JJ","FEDG","AHY",,"","","","","LHD","General GPS location for site, "
"541",2016,"7/2/2016","Alaska","Tombstone",64.943356,-166.204585,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","LHD","General GPS location for site, "
"567",2016,"7/8/2016","Alaska","Feather West",64.852465,-165.979378,"C","1JL","FEDG","1JL","FEDG","AHY",,"","","","","LHD","General GPS location for site, 1CU chickadditional observers -  JAJ,  BWR, , , "
"568",2016,"7/8/2016","Alaska","Feather West",64.852465,-165.979378,"C","1JM","FEDG","1JM","FEDG","AHY",,"","","","","LHD","General GPS location for site, 1CU chickadditional observers -  JAJ,  BWR, , , "
"572",2016,"7/8/2016","Alaska","Feather West",64.852465,-165.979378,"C","1JN","FEDG","1JN","FEDG","AHY",,"","","","","LHD","General GPS location for site, 6HE chickadditional observers -  JAJ,  BWR, , , "
"573",2016,"6/23/2016","Alaska","34 MI",64.817709,-166.002074,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","JVG","General GPS location for site, additional observers -  BJH, , , , "
"574",2016,"7/20/2016","Alaska","37 MI",64.87,-166.1037,"C","1KJ","FEDG","1KJ","FEDG","AHY",,"","","","","SGB","general GPS location for site, additional observers -  BWR,  LHD, , , 10/9/2019 - This record is an anomoly. No history of it in raw banding booklets, likely error somewhere"
"575",2016,"7/8/2016","Alaska","Feather West",64.852465,-165.979378,"R","1CU","FEDG","1CU","FEDG","AHY",,"SAT","","Retained","","LHD","General GPS location for site, additional observers -  JAJ,  BWR, , , "
"576",2016,"7/8/2016","Alaska","Feather East",64.841667,-165.912596,"R","1JK","FEDG","1JK","FEDG","AHY",,"SAT","","New","","LHD","General GPS location for site, additional observers -  JAJ,  BWR, , , "
"577",2016,"7/8/2016","Alaska","Feather West",64.852465,-165.979378,"R","6HE","FELG","6HE","FELG","AHY",,"SAT","","Retained","","LHD","General GPS location for site, additional observers -  JAJ,  BWR, , , "
"578",2016,"7/8/2016","Alaska","Tombstone",64.943356,-166.204585,"R","6HX","FELG","6HX","FELG","AHY",,"","","","","JvG","General GPS location for site, additional observers -  SGB, , , , "
"637",2016,"7/1/2016","Alaska","Tombstone",64.943356,-166.204585,"R","1HM","FEDG","1HM","FEDG","AHY",,"","","","","","General GPS location for site, w/in 20m of nestadditional observers - , , , , "
"642",2016,"12/17/2016","Mexico","Los Conchales/Guerrero Negro/México",27.929268,-114.146379,"R","1KJ","FEDG","1KJ","FEDG","AHY",,"","","","","Ayala","General GPS Location, 10/9/2019 - no banding record of this bird in our records, possible error somewhere"
"655",2016,"6/3/2016","Alaska","34 MI",64.8105,-165.95126,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","NRH","In group of four knot, including 6HV. Sounded like they were potentially not together the whole time according to the observations that Sarah and Jan made of the flock.additional observers -  AHU,  SGB,  JVG, , "
"656",2016,"6/3/2016","Alaska","34 MI",64.8105,-165.95126,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","NRH","In group of four knot, including 6VA. Sounded like they were potentially not together the whole time according to the observations that Sarah and Jan made of the flock.additional observers -  AHU,  SGB,  JVG, , "
"664",2016,"6/1/2016","Alaska","34 MI",64.81004,-165.95537,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","NRH","It's a girl! Apparently 6VA is a female, although she has been identified as a male in the previous two years because she has remained with the chicks. Definitely acting in the female role today with 6HV.additional observers - , , , , "
"667",2016,"5/31/2016","Alaska","34 MI",64.81859,-165.9984,"R","6HC","FELG","6HC","FELG","AHY",,"GEO","","Lost","","NRH","Male, paired with 6XH. Geo flag is present but appears to have had the geo broken off!additional observers -  SGB, , , , "
"674",2016,"6/23/2016","Alaska","34 MI",64.81514,-165.9518,"R","1HH","FEDG","1HH","FEDG","AHY",,"","","","","CWW","nest apparently abandoned, associated with 6HHadditional observers -  LCW, , , , "
"677",2016,"6/6/2016","Alaska","34 MI",64.81271,-165.95006,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","JAJ","Nest found today with one egg!! Paired with 6HV.additional observers -  NRH, , , , "
"678",2016,"6/6/2016","Alaska","34 MI",64.81271,-165.95006,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","JAJ","Nest found today with one egg!! Paired with 6VA.additional observers -  NRH, , , , "
"679",2016,"6/6/2016","Alaska","34 MI",64.81561,-165.9493,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","JAJ","Nest found today with one egg!! Paired with UNB female. Still.additional observers - , , , , "
"681",2016,"5/28/2016","Alaska","37 MI",64.84594,-166.0851,"R","1AU","FEDG","1AU","FEDG","AHY",,"","","","","NRH","NEST FOUND TODAY. Sarah and I watched them for 9 hours. Baja bird finally identified with better photosadditional observers -  SGB,  JVG, , , "
"682",2016,"5/28/2016","Alaska","37 MI",64.84594,-166.0851,"R","226","FEY","226","FEY","AHY",,"","","","","NRH","NEST FOUND TODAY. Sarah and I watched them for 9 hours. Baja bird finally identified with better photosadditional observers -  SGB,  JVG, , , "
"683",2016,"5/29/2016","Alaska","34 MI",64.81905,-166.0349,"R","6UU","FELG","6UU","FELG","AHY",,"","","","","NRH","NEST FOUND TODAY. Watched as this bird fluttered up, briefly displayed and then landed and walked to his nest!additional observers - , , , , "
"690",2016,"6/19/2016","Alaska","34 MI",64.82399,-166.03362,"C","1HA","FEDG","1HA","FEDG","AHY",,"","","","","JAJ","new bird, banded today on four eggs (NHSG001 nest), eggs switchedadditional observers -  JVG,  LHD, , , "
"696",2016,"5/26/2016","Alaska","37 MI",64.84572,-166.082,"R","1AU","FEDG","1AU","FEDG","AHY",,"","","","","NRH","Observed paired with the Baja female! One nest scrape display.additional observers -  SGB, , , , "
"705",2016,"6/22/2016","Alaska","34 MI",64.81454,-165.95137,"R","1HH","FEDG","1HH","FEDG","AHY",,"","","","","CWW","On nestadditional observers -  LCW, , , , "
"706",2016,"6/22/2016","Alaska","37 MI",64.8526,-166.09203,"R","1EU","FEDG","1EU","FEDG","AHY",,"","","","","JVG","On nestadditional observers -  SGB,  BH, , , "
"711",2016,"5/30/2016","Alaska","34 MI",64.81319,-165.9573,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Paired today with an UNB bird! She did not seem very gravid.additional observers -  SGB,  JVG, , , "
"712",2016,"6/1/2016","Alaska","34 MI",64.81387,-165.9532,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","SGB","Paired today with UNB female! Observed by Sarah for a while mostly sleeping and foraging. One attempted copulation.additional observers -  NRH, , , , "
"720",2016,"6/2/2016","Alaska","34 MI",64.81114,-165.95393,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","NRH","Paired with 6HV still. Seen during copulation. She was on the bottom.additional observers -  SGB,  JVG, , , "
"721",2016,"6/7/2016","Alaska","34 MI",64.81311,-165.953,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","JAJ","Paired with 6HV still. She is very gravid today.additional observers -  NRH,  SGB, , , "
"722",2016,"6/4/2016","Alaska","34 MI",64.81442,-165.95085,"R","6VA","FELG","6VA","FELG","AHY",,"","","","","JAJ","Paired with 6HV still.additional observers - , , , , "
"729",2016,"6/7/2016","Alaska","34 MI",64.81311,-165.953,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","JAJ","Paired with 6VA still who is very gravid today.additional observers -  NRH,  SGB, , , "
"730",2016,"6/4/2016","Alaska","34 MI",64.81442,-165.95085,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","JAJ","Paired with 6VA still, who seems fairly gravid.additional observers - , , , , "
"731",2016,"6/2/2016","Alaska","34 MI",64.81114,-165.95393,"R","6HV","FELG","6HV","FELG","AHY",,"","","","","NRH","Paired with 6VAadditional observers -  SGB,  JVG, , , "
"733",2016,"6/4/2016","Alaska","34 MI",64.81554,-165.9487,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","JAJ","Paired with UNB female still. One scrape display today.additional observers - , , , , "
"734",2016,"6/1/2016","Alaska","34 MI",64.81187,-165.95847,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Paired with UNB female still. She has a bit of a limp (Right leg?). One scrape display, otherwise just foraging. Lost after a while.additional observers - , , , , "
"735",2016,"6/7/2016","Alaska","34 MI",64.81345,-165.95116,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","JAJ","Paired with UNB female still. She seems fairly gravidadditional observers -  NRH,  SGB, , , "
"736",2016,"6/4/2016","Alaska","34 MI",64.81283,-165.96124,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Paired with UNB female still. She seems fairly gravidadditional observers - , , , , "
"737",2016,"6/3/2016","Alaska","34 MI",64.81348,-165.95442,"R","6HH","FELG","6HH","FELG","AHY",,"","","","","NRH","Paired with UNB female. Not much happening. Sarah observed for a while and eventually lost them.additional observers -  AHU,  SGB, , , "
"738",2016,"5/31/2016","Alaska","34 MI",64.81373,-165.962,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","SGB","Paired with UNB female. Watched for a couple hours by Sarah before they dissappeared.additional observers - , , , , "
"739",2016,"6/2/2016","Alaska","34 MI",64.81068,-165.95898,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","SGB","Paired with UNB. Female was very gravid.additional observers - , , , , "
