Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2011,LHD004,6/20/2011,19:01,Tombstone,64.93825,-166.21105,LHD,Initial Discovery,hatch,Y,2,2,6LY,FELG,6KL,FELG,,,,,,,,,,,"|0|0|||||||||||||||||||||||||Chick capture on 21 June. CHICK #1: Cul: 12.2mm, TotHead: 33.0, NtT: 9.8, Tars: 25.8, Wt: 13.5, Note: egg tooth still on. CHICK #2: Cul: 12.0mm, TotHead: 33.3, NtT: 9.9, Tars: 27.6, Wt: 13.3|32||30|||1|||||38|||3|1|75|1|||||||20|||120|50|0|1|254|208||"
2011,LHD004,6/21/2011,17:10,Tombstone,64.93825,-166.21105,LHD,2,hatch,Y,0,4,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD004,6/22/2011,13:55,Tombstone,64.93825,-166.21105,LHD,Fate Determined,hatch,Y,0,4,,,,,,,,,Y,,,,,,Brood observed.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/5/2011,16:23,34 MI,64.81383,-165.96842,NRH,Initial Discovery,laying,N,,,6JP,FELG,6KJ,FELG,,,,,,,,,,,|45.4|34|||||44.4|30.4|||||44.2|30.4||||||||||||||5||27|||8|||||25||35|10||54|1||10|||||35||1|90|25|0|4|270|372||
2011,NRH001,6/6/2011,13:30,34 MI,64.81383,-165.96842,LHD,2,laying,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/8/2011,16:37,34 MI,64.81383,-165.96842,NRH,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/10/2011,14:20,34 MI,64.81383,-165.96842,JAJ,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/14/2011,14:14,34 MI,64.81383,-165.96842,LHD,5,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/15/2011,16:15,34 MI,64.81383,-165.96842,NRH,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/18/2011,17:05,34 MI,64.81383,-165.96842,LHD,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/23/2011,15:30,34 MI,64.81383,-165.96842,NRH,8,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/26/2011,17:50,34 MI,64.81383,-165.96842,JAJ,9,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/27/2011,15:00,34 MI,64.81383,-165.96842,JAJ,10,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,NRH001,6/29/2011,17:30,34 MI,64.81383,-165.96842,JAJ,Fate Determined,hatch,Y,0,0,,,,,,intact,no,Y,N,attached,,,,,"Brood observed. Note on iButton ""control"": Concealed under lichen/dryas 6"" west from southern cairn. Nail anchoring iButton is touching cairn.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"
