Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2011,DTS001,5/25/2011,,37 MI,64.8452,-166.08147,DTS,Initial Discovery,laying,Y,1,0,,,,,5/24/2011,,,,,,,,,,||||||||||||||||||||||||||||7||40|1|||||||51|||2||51|1|3||5|12|16|5|46|||90|50|0|12|130|246||
2011,DTS001,5/30/2011,,37 MI,64.8452,-166.08147,LHD,2,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,DTS001,5/31/2011,,37 MI,64.8452,-166.08147,LHD,Fate Determined,failed,Y,0,0,,,,,,intact,no,Y,N,none,none,N,N,Predation,Predator = fox? Ground squirrel burrow with calling squirrel ~20m from nest.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ001,6/18/2011,18:40,Tombstone,64.94636,-166.20527,JAJ,Initial Discovery,incubation,Y,4,0,6JJ,FELG,6KM,FELG,,,,,,,,,,,|43|30.1|90|Y|7|18.2|43.4|30.7|90|Y|5|19.1|44.2|29.7|90|Y|4|18.1|42|30.1|90|Y|4|17.9||||8||40|2||2|||||48|||5||42|1||2|||||40|||90|45|0|2|280|200||
2011,JAJ001,6/21/2011,16:33,Tombstone,64.94636,-166.20527,LHD,2,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ001,6/25/2011,15:50,Tombstone,64.94636,-166.20527,LHD,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ001,6/27/2011,17:00,Tombstone,64.94636,-166.20527,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ001,6/30/2011,12:30,Tombstone,64.94636,-166.20527,LHD,Fate Determined,hatch,Y,0,4,,,,,,,no,N,,,,,,,Brood observed. Few downy feathers from chicks with nest material.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ002,6/30/2011,16:30,34 MI,64.818418,-166.998862,JAJ,Initial Discovery,hatch,Y,3,0,,,,,,,,,,,,,,,||||||||||||||||||||||||||||25||24|1||10|||||40|||7||50|1||8|||||30||3|100|20|0|18|10|337||
2011,JAJ002,7/1/2011,12:58,34 MI,64.818418,-166.998862,JAJ,2,hatch,Y,0,3,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JAJ002,7/1/2011,21:20,34 MI,64.818418,-166.998862,JAJ,Fate Determined,hatch,Y,0,3,,,,,,,,,,,,,Y,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC001,5/25/2011,,34 MI,64.81947,-166.03264,JRC,Initial Discovery,laying,Y,2,0,,,,,5/24/2011,,,,,,,,,,"||||||||||||||||||||||||||40688|Incubation obs 25 May 2011, expected later|10||32|1||2|||||55||2|2|1|40|1||2|||||54|||90|60|0|2|250|312||"
2011,JRC001,5/29/2011,,34 MI,64.81947,-166.03264,LHD,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC001,5/31/2011,,34 MI,64.81947,-166.03264,LHD,Fate Determined,failed,Y,0,0,,,,,,intact,no,N,N,none,none,N,N,Predation,Predator = fox? Ground squirrel shit in nest lining and animal 25 m from nest.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC002,6/9/2011,16:10,37 MI,64.85237,-166.09164,JRC,Initial Discovery,initiation,Y,0,0,6JY,FELG,unb,,,,,,,,,,,,|40|29||||16.5|40.6|28.8||||16.9|37.8|30||||17.7||||||||||6||60|2||2|||||30|||2||53|1||2|||||40||2|90|20|0|10|246|314||
2011,JRC002,6/9/2011,16:30,37 MI,64.85237,-166.09164,JRC,2,laying,Y,1,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC002,6/11/2011,14:40,37 MI,64.85237,-166.09164,JRC,3,laying,Y,2,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC002,6/14/2011,17:02,37 MI,64.85237,-166.09164,LHD,4,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC002,6/21/2011,15:30,37 MI,64.85237,-166.09164,JRC,5,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,JRC002,6/24/2011,17:05,37 MI,64.85237,-166.09164,NRH,Fate Determined,failed,Y,0,0,,,,,,intact,no,N,N,,,N,N,Predation,Eggs gone. No adults present. Too soon for hatch.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD001,5/28/2011,13:15,Barrel Hill,64.70665,-165.75998,LHD,Initial Discovery,incubation,Y,2,0,,,6KH,FELG,,,,,,,,,,,||||||||||||||||||||||||||||10||75|1||1|||||13|||5|1|28|1||4|||||60||1|90|65|0|20|110|308||
2011,LHD001,6/1/2011,17:15,Barrel Hill,64.70665,-165.75998,JRC,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD001,6/2/2011,12:08,Barrel Hill,64.70665,-165.75998,LHD,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD001,6/6/2011,11:30,Barrel Hill,64.70665,-165.75998,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD001,6/7/2011,12:10,Barrel Hill,64.70665,-165.75998,LHD,Fate Determined,failed,Y,0,0,,,,,,scattered,no,N,N,none,none,N,N,Predation,"Failed between 2 and 7 June 2011. Nest not destroyed, iButton ~10m in from nest, likely Grizzley, possibly fox.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"
2011,LHD002,5/29/2011,17:50,34 MI,64.81634,-166.00508,LHD,Initial Discovery,incubation,N,,,unb,,6JE,FELG,,,,,,,,,,,||||||||||||||||||||||||||||8||50|1||1|||||35|||5||51|2||2|||||40|||90|45|0|1|170|348||
2011,LHD002,5/30/2011,,34 MI,64.81634,-166.00508,LHD,2,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD002,5/31/2011,14:20,34 MI,64.81634,-166.00508,LHD,Fate Determined,failed,Y,0,0,,,,,,intact,no,N,N,none,none,N,N,Predation,Predator = fox? Fox observed in area on 29 May on 2 occassions and once on 30 May.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/5/2011,13:37,34 MI,64.81539,-166.00269,LHD,Initial Discovery,laying,Y,1,0,unb,,unb,,6/4/2011,,,,,,,,,,|42|30.6||||18.7|40.7|29.6||||18|41.1|30.3||||18.6||||||||||15||68|1||1|||||15|||20||62|1||2|||||15|||||0|5|162|344||
2011,LHD003,6/8/2011,13:30,34 MI,64.81539,-166.00269,JAJ,2,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/10/2011,13:53,34 MI,64.81539,-166.00269,JRC,3,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/14/2011,13:18,34 MI,64.81539,-166.00269,LHD,4,abandoned,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/15/2011,13:01,34 MI,64.81539,-166.00269,LHD,5,abandoned,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/15/2011,17:10,34 MI,64.81539,-166.00269,LHD,6,abandoned,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2011,LHD003,6/18/2011,19:40,34 MI,64.81539,-166.00269,LHD,Fate Determined,abandoned,Y,3,0,,,,,,intact,,N,,,,,,,Abandoned between 10-14 June 2011.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
