"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"5",2015,"7/2/2015","Alaska","34 MI",64.82533,-166.03105,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","CWW","2 chixadditional observers -  JAJ, , , , "
"34",2015,"7/18/2015","Alaska","37 MI",64.86116,-166.06734,"R","1CV","FEDG","1CV","FEDG","L",,"","","","","LHD","additional observers -  GJTS, , , , "
"35",2015,"7/18/2015","Alaska","37 MI",64.86116,-166.06734,"R","1CX","FEDG","1CX","FEDG","L",,"","","","","LHD","additional observers -  GJTS, , , , "
"36",2015,"7/18/2015","Alaska","37 MI",64.86147,-166.06142,"R","1EK","FEDG","1EK","FEDG","L",,"","","","","LHD","additional observers -  GJTS, , , , "
"37",2015,"7/18/2015","Alaska","37 MI",64.86147,-166.06142,"R","1EM","FEDG","1EM","FEDG","L",,"","","","","LHD","additional observers -  GJTS, , , , "
"38",2015,"7/19/2015","Alaska","37 MI",64.84332,-166.08664,"R","1EJ","FEDG","1EJ","FEDG","L",,"","","","","CWW","additional observers -  GJTS, , , , "
"42",2015,"7/6/2015","Alaska","37 MI",64.81615,-166.00459,"R","1AH","FEDG","1AH","FEDG","AHY",,"","","","","LHD","additional observers -  JAJ,  CWW, , , "
"55",2015,"7/18/2015","Alaska","34 MI",64.82143,-166.04572,"R","1EH","FEDG","1EH","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"56",2015,"7/19/2015","Alaska","37 MI",64.84469,-166.08107,"R","1AN","FEDG","1AN","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"57",2015,"7/19/2015","Alaska","37 MI",64.84731,-166.09747,"R","1CC","FEDG","1CC","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"58",2015,"7/19/2015","Alaska","37 MI",64.8416,-166.09711,"R","1CE","FEDG","1CE","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"59",2015,"7/19/2015","Alaska","37 MI",64.84731,-166.09747,"R","1EL","FEDG","1EL","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"60",2015,"7/19/2015","Alaska","37 MI",64.84731,-166.09747,"R","1EY","FEDG","1EY","FEDG","L",,"","","","","NRH","additional observers -  LHD,  CWW,  GJTS, , "
"61",2015,"7/16/2015","Alaska","37 MI",64.8656,-166.06587,"R","1CV","FEDG","1CV","FEDG","L",,"","","","","NRH","additional observers -  LHD,  GJTS, , , "
"62",2015,"7/16/2015","Alaska","37 MI",64.8656,-166.06587,"R","1CX","FEDG","1CX","FEDG","L",,"","","","","NRH","additional observers -  LHD,  GJTS, , , "
"67",2015,"7/15/2015","Alaska","37 MI",64.84285,-166.06589,"C","1AY","FEDG","1AY","FEDG","L",,"","","","","CWW","additional observers -  LHD,  WGH, , , "
"68",2015,"7/15/2015","Alaska","37 MI",64.84285,-166.06589,"R","1CC","FEDG","1CC","FEDG","L",,"","","","","CWW","additional observers -  LHD,  WGH, , , "
"69",2015,"7/15/2015","Alaska","37 MI",64.84285,-166.06589,"R","1EX","FEDG","1EX","FEDG","L",,"","","","","CWW","additional observers -  LHD,  WGH, , , "
"70",2015,"7/15/2015","Alaska","37 MI",64.85072,-166.07884,"R","1AN","FEDG","1AN","FEDG","L",,"","","","","NRH","additional observers -  LHD, , , , "
"71",2015,"7/19/2015","Alaska","37 MI",64.85995,-166.06076,"R","1EK","FEDG","1EK","FEDG","L",,"","","","","NRH","additional observers -  LHD, , , , "
"72",2015,"7/19/2015","Alaska","37 MI",64.85995,-166.06076,"R","1EM","FEDG","1EM","FEDG","L",,"","","","","NRH","additional observers -  LHD, , , , "
"73",2015,"7/20/2015","Alaska","38 MI",64.85915,-166.1127,"R","1EJ","FEDG","1EJ","FEDG","L",,"","","","","NRH","additional observers -  LHD, , , , "
"74",2015,"7/6/2015","Alaska","37 MI",64.84278,-166.0881,"R","1AU","FEDG","1AU","FEDG","AHY",,"SAT","","Retained","","LHD","additional observers -  NRH,  CWW,  JAJ,  WGH,  LTC"
"75",2015,"7/6/2015","Alaska","37 MI",64.84441,-166.07664,"R","6TM","FELG","6TM","FELG","AHY",,"SAT","","Retained","","LHD","additional observers -  NRH,  CWW,  JAJ,  WGH,  LTC"
"76",2015,"7/6/2015","Alaska","37 MI",64.84441,-166.07664,"R","6XN","FELG","6XN","FELG","AHY",,"SAT","","Retained","","LHD","additional observers -  NRH,  CWW,  JAJ,  WGH,  LTC"
"77",2015,"7/11/2015","Alaska","37 MI",64.84209,-166.06369,"R","1AT","FEDG","1AT","FEDG","L",,"","","","","LHD","additional observers -  NRH,  CWW,  WGH, , "
"78",2015,"7/11/2015","Alaska","37 MI",64.84209,-166.06369,"R","1AV","FEDG","1AV","FEDG","L",,"","","","","LHD","additional observers -  NRH,  CWW,  WGH, , "
"79",2015,"7/11/2015","Alaska","37 MI",64.84496,-166.08348,"R","1AX","FEDG","1AX","FEDG","L",,"","","","","LHD","additional observers -  NRH,  CWW,  WGH, , "
