"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"370",2010,"7/1/2010","Alaska","Feather",64.8454,-165.9476,"C","6JX","FELG","6JX","FELG","AHY",,"GEO","","New","","LHD","General GPS"
"535",2010,"11/9/2010","California","Mission Bay, CA",32.77617,-117.2291,"R","6JX","FELG","6JX","FELG","AHY",,"GEO","","Retained","","UNK","General GPS Location"
"914",2010,"6/30/2010","Alaska","34 MI",64.81297,-165.9669,"C","6JP","FELG","6HJ","FELG","AHY",,"GEO","","New","","LD","WAS 6JP.additional observers - , , , , "
"918",2010,"7/1/2010","Alaska","Feather",64.8454,-165.9476,"C","6JV","FELG","6HE","FELG","AHY",,"GEO","","New","","LD","WAS 6JV.additional observers - , , , , "
"1201",2010,"6/7/2010","Alaska","Kakagrak Hills",67.27835,-163.7723,"C","6CA","FELG","6CA","FELG","AHY",,"","","","","LD",""
"1202",2010,"6/10/2010","Alaska","Kakagrak Hills",67.27835,-163.7723,"C","6CC","FELG","6CC","FELG","AHY",,"","","","","LD",""
"1203",2010,"6/16/2010","Alaska","Kakagrak Hills",67.29003,-163.7311,"C","6CE","FELG","6CE","FELG","AHY",,"GEO","","New","","LD",""
"1204",2010,"6/18/2010","Alaska","Kakagrak Hills",67.28996,-163.7312,"C","6CH","FELG","6CH","FELG","AHY",,"GEO","","New","","LD",""
"1205",2010,"6/19/2010","Alaska","34 MI",64.81738,-166.0181,"C","6JA","FELG","6JA","FELG","AHY",,"GEO","","New","","JJ",""
"1206",2010,"6/19/2010","Alaska","34 MI",64.81758,-166.0087,"C","6JC","FELG","6JC","FELG","AHY",,"GEO","","New","","JJ",""
"1207",2010,"6/21/2010","Alaska","Cape Krusenstern",67.16511,-163.523,"C","6CJ","FELG","6CJ","FELG","AHY",,"","","","","LD",""
"1208",2010,"6/21/2010","Alaska","Cape Krusenstern",67.15888,-163.4573,"C","6CK","FELG","6CK","FELG","AHY",,"","","","","LD",""
"1209",2010,"6/21/2010","Alaska","Cape Krusenstern",67.16511,-163.523,"C","6CL","FELG","6CL","FELG","AHY",,"","","","","LD",""
"1210",2010,"6/21/2010","Alaska","34 MI",64.81758,-166.00871,"C","6JE","FELG","6JE","FELG","AHY",,"GEO","","New","","JJ",""
"1211",2010,"6/22/2010","Alaska","34 MI",64.81738,-166.0181,"C","6JH","FELG","1LM","FEDG","AHY",,"GEO","","New","","JJ",""
"1212",2010,"6/25/2010","Alaska","Tombstone",64.94591,-166.206,"C","6JJ","FELG","6JJ","FELG","AHY",,"GEO","","New","","JJ",""
"1213",2010,"6/26/2010","Alaska","Barrel",64.70957,-165.7643,"C","6JK","FELG","6JK","FELG","AHY",,"GEO","","New","","LD",""
"1214",2010,"6/26/2010","Alaska","Barrel",64.81738,-166.0181,"C","6JL","FELG","6JL","FELG","AHY",,"GEO","","New","","LD",""
"1215",2010,"6/30/2010","Alaska","34 MI",64.8166,-165.9976,"C","6JM","FELG","6JM","FELG","AHY",,"GEO","","New","","LD",""
"1216",2010,"6/30/2010","Alaska","34 MI",64.81516,-165.9927,"C","6JN","FELG","6JN","FELG","AHY",,"GEO","","New","","LD",""
"1217",2010,"7/1/2010","Alaska","34 MI",64.81546,-165.9352,"C","6JT","FELG","6JT","FELG","AHY",,"GEO","","New","","LD",""
"1218",2010,"7/1/2010","Alaska","34 MI",64.81645,-165.9312,"C","6JU","FELG","6JU","FELG","AHY",,"GEO","","New","","LD",""
"1219",2010,"7/1/2010","Alaska","Feather",64.84547,-165.9451,"C","6JX","FELG","6JX","FELG","AHY",,"GEO","","New","","LD",""
"1220",2010,"7/3/2010","Alaska","37 MI",64.85048,-166.0884,"C","6JY","FELG","6JY","FELG","AHY",,"GEO","","New","","LD",""
"1221",2010,"7/3/2010","Alaska","9 MI",64.58521,-165.5628,"C","6KA","FELG","6KA","FELG","AHY",,"GEO","","New","","LD",""
"1222",2010,"7/3/2010","Alaska","9 MI",64.58663,-165.5625,"C","6KC","FELG","6KC","FELG","AHY",,"GEO","","New","","LD",""
"1223",2010,"7/3/2010","Alaska","9 MI",64.58663,-165.5625,"C","6KE","FELG","6KE","FELG","AHY",,"","","","","LD",""
"1224",2010,"12/31/2010","California","Mission Beach, CA",32.7787,-117.2492,"R","6JX","FELG","6JX","FELG","AHY",,"GEO","","Retained","","Shirley Doell",""
