"","Year","Region","Location","Area","Site","Latitude","Longitude","CaptureDate","CaptureTime","Species","Bander","Scribe","BandSize","MetalIn","FlagColorIn","FlagCodeIn","UpperLeftIn","LowerLeftIn","UpperRightIn","LowerRightIn","MetalOut","FlagColorOut","FlagCodeOut","UpperLeftOut","LowerLeftOut","UpperRightOut","LowerRightOut","TrackerType1","TrackerStatus1","TrackerID1","TrackerType2","TrackerStatus2","TrackerID2","Disposition","Status","Condition","AgeID","HowAged","FieldSex","CHDSex","HowSex","Culmen","CulmenDepth","CulmenWidth","NaresTip","TotalHead","TarsusDiagonal","Wing","p10","p10Exposed","Fat","Weight","CaptureMethod","NestBroodID","ChickAgeType","ChickHatchDate","ChickAge","FeatherCollected","FeatherType","Blood","BloodQuantity","BloodUse","OtherTests","comments.Tot.Tarsus.Covert.p10_length.Covert.p10_exposed.Weight.Cone_wt.RECAPBTWYR.RECAPWINYR.PHOTOS.MATE.MATE_ATTEND.BROOD_SIZE.REL_STATUS.ffm_p1.ffm_p2.ffm_p3.ffm_p4.ffm_p5.ffm_p6.ffm_p7.ffm_p8.ffm_p9.ffm_p10.ffm_s1.ffm_s2.ffm_s3.ffm_s4.ffm_s5.ffm_s6.ffm_s7.ffm_s8.ffm_s9.ffm_s10.tfm_1.tfm_2.tfm_3.tfm_4.tfm_5.tfm_6.bm_head.bm_neck.bm_back.bm_brst.bm_abd.blood_dna.blood_rna"
"500",2018,5,"NOME","TELLER RD","37 MI",64.84255,-166.08875,"6/24/2018","12:05","REKN","CMW","",2,"","","","",,"","","122274440","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",14.3,3.9,3.5,10.6,33.8,26.5,,0,0,,14.5,"Hand","6XN","Estimated_by_backdatefirstmeasurement","6/20/2018",4,"","","","","","",""
"501",2018,5,"NOME","TELLER RD","34 MI",64.824315,-166.041431,"6/25/2018","15:00","REKN","JAJ","",2,"129231723","FEDG","1HE","FEDG",,"O","M","129231723","FEDG","1HE","FEDG","","GEO, O","M","GEO","New","BN077","RADIO","New","164.852","R","301","7","ATY","RC","M","M","BO",,,,,,,,,,,125,"Mist","1HE","","",,"N","","","","","","4 chicks"
"502",2018,5,"NOME","TELLER RD","34 MI",64.82407,-166.04378,"6/25/2018","16:53","REKN","CMW","",2,"","","","",,"","","122274463","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",12.2,3.2,3.3,8.7,33.2,26.5,,0,0,,13.1,"Hand","1HE","Estimated_by_backdatefirstmeasurement","6/21/2018",4,"","","","","","",""
"503",2018,5,"NOME","TELLER RD","34 MI",64.82407,-166.04378,"6/25/2018","16:54","REKN","CMW","",2,"","","","",,"","","122274464","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",11.9,3.4,3.5,8.3,31.3,26.3,,0,0,,13.6,"Hand","1HE","Estimated_by_backdatefirstmeasurement","6/21/2018",4,"","","","","","",""
"504",2018,5,"NOME","TELLER RD","34 MI",64.82407,-166.04378,"6/25/2018","16:56","REKN","CMW","",2,"","","","",,"","","122274465","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",12.9,3.2,3.1,8.8,32.6,27.1,,0,0,,12.9,"Hand","1HE","Estimated_by_backdatefirstmeasurement","6/22/2018",3,"","","","","","",""
"505",2018,5,"NOME","TELLER RD","34 MI",64.82407,-166.04378,"6/25/2018","16:54","REKN","CMW","",2,"","","","",,"","","122274466","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",11,3.2,3.2,8,32.9,27.2,,0,0,,12.4,"Hand","1HE","Estimated_by_backdatefirstmeasurement","6/22/2018",3,"","","","","","",""
"506",2018,5,"NOME","TELLER RD","37 MI",,,"6/26/2018","","REKN","CMW","",2,"122274440","","","",,"","M","122274440","","","","","","M","","","","","","","R","300","7","L","NF","U","","IC",15,4.4,3.8,11.6,37.5,28.6,,8.7,3,,21.7,"Hand","6XN","Estimated_by_p10","6/20/2018",5.954127212,"N","","","","","",""
"507",2018,5,"NOME","TELLER RD","Tombstone",64.93925,-166.20958,"6/26/2018","17:29","REKN","CMW","",2,"","","","",,"","","122274441","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",21.9,6,4.9,15,46.7,31.2,,48.7,26,,70.1,"Hand","UNB","Estimated_by_p10","6/9/2018",16.38564887,"N","","","","","",""
"508",2018,5,"NOME","TELLER RD","Tombstone",64.93925,-166.20958,"6/26/2018","17:29","REKN","CMW","",2,"","","","",,"","","122274442","","","","","Y","M","","","","","","","1","301","7","L","NF","U","","IC",21.5,6.1,4.7,15.5,48.3,33.7,,48,27.7,,77.7,"Hand","UNB","Estimated_by_p10","6/9/2018",16.23338414,"N","","","","","",""
"509",2018,5,"NOME","TELLER RD","Tombstone",64.93925,-166.20958,"6/26/2018","17:29","REKN","CMW","",2,"","","","",,"","","122274443","","","","","Y","M","","","","","","","1","301","7","L","NF","U","","IC",23.2,5.8,4.3,16,49.3,31.9,,53,32.8,,73.4,"Hand","UNB","Estimated_by_p10","6/8/2018",17.32448803,"N","","","","","",""
"510",2018,5,"NOME","TELLER RD","34 MI",64.82227,-166.03931,"6/27/2018","16:13","REKN","JAJ","",2,"","","","",,"","","122274445","FEDG","1KA","FEDG","","GEO, Y","M","GEO","New","BN078","RADIO","New","164.715","1","319","7","ASY","RC","M","M","BO",34.5,6.5,5.2,26.5,65.1,35.4,171,,,0,121,"Mist","1KA","","",,"N","","Y","filter","DNA","",""
"511",2018,5,"NOME","TELLER RD","34 MI",64.82227,-166.03927,"6/27/2018","16:06","REKN","LAM","",2,"","","","",,"","","122274444","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",15.2,4.2,3.9,11.4,38.1,28.8,,10.5,3.8,,27.1,"Hand","1KA","Estimated_by_p10","6/20/2018",6.69104164,"N","","","","","",""
"512",2018,5,"NOME","TELLER RD","34 MI",64.82227,-166.03927,"6/27/2018","16:06","REKN","LAM","",2,"","","","",,"","","122274446","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",15.9,4.5,4.1,11.7,38.4,29.4,,9,2.6,,27.9,"Hand","1KA","Estimated_by_p10","6/20/2018",6.083071922,"N","","","","","",""
"513",2018,5,"NOME","TELLER RD","34 MI",64.82227,-166.03927,"6/27/2018","16:06","REKN","LAM","",2,"","","","",,"","","122274447","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",14.5,4.9,4.4,10.5,36.9,28.2,,7.4,2.4,,24.7,"Hand","1KA","Estimated_by_p10","6/21/2018",5.360237545,"N","","","","","",""
"514",2018,5,"NOME","TELLER RD","34 MI",64.82227,-166.03927,"6/27/2018","16:06","REKN","LAM","",2,"","","","",,"","","122274448","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",15.5,5.3,4.2,11.1,36.8,29.7,,10.5,3.3,,20.4,"Hand","1KA","Estimated_by_p10","6/20/2018",6.69104164,"N","","","","","",""
"515",2018,5,"NOME","TELLER RD","37 MI",64.84353,-166.08164,"6/28/2018","13:09","REKN","JAJ","",2,"122274346","FELG","6XN","FELG",,"W","M","122274346","FELG","6XN","FELG","","GEO, W","M","GEO","New","BN080","","","","R","301","7","ATY","RC","M","M","BO",,,,,,,,,,,112.2,"Mist","6XN","","",,"N","","","","","",""
"516",2018,5,"NOME","TELLER RD","37 MI",64.84274,-166.0858,"6/28/2018","11:51","REKN","JAJ","",2,"","","","",,"","","122274451","FEDG","1KU","FEDG","","GEO, Y","M","GEO","New","BN079","RADIO","New","164.732","1","319","7","AHY","PL","M","M","BO",33,6.5,4.9,23.3,62.5,34.6,170,,,0,118,"Mist","1KU","","",,"N","","Y","filter","DNA","","4th chick near adult 6XN"
"517",2018,5,"NOME","TELLER RD","37 MI",,,"6/28/2018","","REKN","CMW","",2,"122274440","","","",,"","M","122274440","","","","","","M","","","","","","","R","300","7","L","NF","U","","IC",17.7,4.4,3.9,12.3,40.6,29.7,,13.9,4.6,,34.7,"Hand","6XN","Estimated_by_p10","6/20/2018",7.900825943,"","","","","","",""
"518",2018,5,"NOME","TELLER RD","Tombstone",,,"6/28/2018","","REKN","CMW","",2,"122274441","","","",,"","M","122274441","","","","","","M","","","","","","","R","300","7","L","NF","U","","IC",21.9,6.5,4.2,16.9,49.8,32.2,,59.8,38,,81.7,"Hand","UNB","Estimated_by_p10","6/9/2018",18.83539553,"","","","","","",""
"519",2018,5,"NOME","TELLER RD","Tombstone",,,"6/28/2018","","REKN","CMW","",2,"122274442","","","",,"Y","M","122274442","","","","","Y","M","","","","","","","R","301","7","L","NF","U","","IC",22.2,6.5,4.5,16.5,50.4,33.4,,57.6,37.9,,89.1,"Hand","UNB","Estimated_by_p10","6/9/2018",18.34164659,"","","","","","",""
"520",2018,5,"NOME","TELLER RD","Tombstone",,,"6/28/2018","","REKN","CMW","",2,"122274443","","","",,"Y","M","122274443","","","","","Y","M","","","","","","","R","301","7","L","NF","U","","IC",22.2,6.4,4.6,17,51.8,32.5,,63.8,42.3,,83.3,"Hand","UNB","Estimated_by_p10","6/8/2018",19.74951655,"","","","","","",""
"521",2018,5,"NOME","TELLER RD","37 MI",64.84271,-166.08574,"6/28/2018","11:39","REKN","CMW","",2,"","","","",,"","","122274449","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",17.1,5,3.7,12,39.5,27.2,,13.1,3.8,,31,"Hand","1KU","Estimated_by_p10","6/20/2018",7.632850155,"N","","","","","",""
"522",2018,5,"NOME","TELLER RD","37 MI",64.84271,-166.08574,"6/28/2018","11:39","REKN","CMW","",2,"","","","",,"","","122274450","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",16.2,4.8,4,11.8,39.1,28.2,,13.5,4.6,,30.7,"Hand","1KU","Estimated_by_p10","6/20/2018",7.767936299,"N","","","","","",""
"523",2018,5,"NOME","TELLER RD","37 MI",64.84271,-166.08574,"6/28/2018","11:39","REKN","CMW","",2,"","","","",,"","","122274452","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",28.7,5.6,4.2,12.8,39.9,29.1,,17.8,6.7,,33.3,"Hand","1KU","Estimated_by_p10","6/18/2018",9.10239485,"N","","","","","",""
