"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"170",2014,"5/26/2014","Alaska","34 MI",64.82504,-166.0505,"R","6HP","FELG","6HP","FELG","AHY",,"","","","","NRH","Appears to be single.additional observers - , , , , "
"172",2014,"5/23/2014","Alaska","34 MI",64.8245,-166.0484,"R","6UN","FELG","6UN","FELG","AHY",,"","","","","NRH","Appears to have found a mate! Was foraging near northern end of road.additional observers -  LHD, , , , "
"215",2014,"6/4/2014","Alaska","Tombstone",64.93822,-166.21114,"C","6XH","FELG","6XH","FELG","AHY",,"","","","","NRH","Blood: AIV 0.8, BBP 0.1, DNA blot.additional observers - , , , , "
"220",2014,"7/3/2014","Alaska","37 MI",64.85294,-166.08643,"C","6UA","FELG","6UA","FELG","L",,"","","","","JBB","ca. 10 doadditional observers - , , , , "
"221",2014,"7/6/2014","Alaska","34 MI",64.82528,-166.03293,"C","6TP","FELG","6TP","FELG","L",,"","","","","LHD","ca. 12 doadditional observers - , , , , "
"222",2014,"7/6/2014","Alaska","34 MI",64.82528,-166.03293,"C","6TT","FELG","6TT","FELG","L",,"","","","","LHD","ca. 12 doadditional observers - , , , , "
"223",2014,"7/6/2014","Alaska","34 MI",64.82528,-166.03293,"C","6VX","FELG","6VX","FELG","L",,"","","","","NRH","ca. 12 doadditional observers - , , , , "
"231",2014,"7/5/2014","Alaska","Tombstone",64.93752,-166.20981,"R","6HX","FELG","6HX","FELG","AHY",,"GEO","","Removed","","LHD","Captured and bled. Chicks flagged. Captured with 3 chicks. See previous data for approx. age.additional observers -  WGH,  JBB, , , "
"232",2014,"7/5/2014","Alaska","Feather East",64.8485,-165.94844,"R","6VK","FELG","1JK","FEDG","AHY",,"","","","","NRH","Captured and flagged 1 chick.additional observers -  JAJ, , , , "
"233",2014,"7/5/2014","Alaska","Feather",64.8485,-165.94846,"R","6VE","FELG","6VE","FELG","AHY",,"","","","","NRH","Captured and flagged 2 chicks.additional observers -  JAJ, , , , "
"234",2014,"7/5/2014","Alaska","Barrel",64.71265,-165.76414,"R","6UV","FELG","6UV","FELG","AHY",,"","","","","LHD","Captured and flagged chick ca. 12 d.o.additional observers -  WGH,  JBB, , , "
"235",2014,"7/3/2014","Alaska","37 MI",64.84935,-166.0938,"C","6XT","FELG","6XT","FELG","AHY",,"","","","","LHD","Captured and flagged today with 1 chick ca. 12 days old.additional observers -  WGH,  JBB, , , "
"236",2014,"7/5/2014","Alaska","37 MI",64.84499,-166.0847,"C","6TM","FELG","6TM","FELG","AHY",,"","","","","LHD","Captured and flagged today with 1 chick.  Captured with 1 chick ca 6-7 days oldadditional observers -  WGH,  JBB, , , "
"237",2014,"7/5/2014","Alaska","Feather East",64.84362,-165.91176,"C","6VV","FELG","6VV","FELG","AHY",,"","","","","NRH","Captured and flagged today with 2 chicks 5-6 d.o.additional observers -  JAJ, , , , "
"238",2014,"6/29/2014","Alaska","34 MI",64.81779,-166.00644,"C","6UY","FELG","6UY","FELG","AHY",,"","","","","NRH","Captured and flagged with 3 chicks ca. 2 days old. Captured with 3 chicks ca. 2 days old. NOTE: R1-R3 newer generation symmetrical. (RODRIGO)additional observers -  WGH,  LHD,  JBB,  JAJ, "
"239",2014,"6/21/2014","Alaska","34 MI",64.82011,-166.03358,"C","6XJ","FELG","6XJ","FELG","AHY",,"","","","","LHD","Captured and flagged with four chicks ca. 2 days old. R2 and R7 = newer than rest, symmetrical. Captured with 4 chicks ca. 1-2 days old. (SAMPSON)additional observers -  WGH, , , , "
"241",2014,"6/27/2014","Alaska","34 MI",64.82307,-166.03462,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Removed","","NRH","Captured and GEO REMOVED! Captured with four chicks (~2 days old).additional observers -  WGH,  LHD,  JBB, , "
"247",2014,"6/2/2014","Alaska","Tombstone",64.93842,-166.21056,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","LHD","Captured on nest. Geo removed today.additional observers -  NRH, , , , "
"253",2014,"7/3/2014","Alaska","37 MI",64.85294,-166.08643,"R","6JY","FELG","6JY","FELG","AHY",,"","","","","LHD","Captured with 1 chick ca. 10 days old.additional observers -  WGH,  JBB, , , "
"254",2014,"6/30/2014","Alaska","Feather",64.84409,-165.95508,"C","6VE","FELG","6VE","FELG","AHY",,"","","","","NRH","Captured with 2 chicks ca. 5 and 8 days old respectively. (BILLY BOB)additional observers - , , , , "
"255",2014,"6/22/2014","Alaska","34 MI",64.82167,-166.03873,"C","6XM","FELG","6XM","FELG","AHY",,"","","","","LHD","Captured with 3 chicks ca. 4-5 days old. (HAROLD)additional observers - , , , , "
"256",2014,"6/29/2014","Alaska","34 MI",64.81367,-165.95503,"C","6VA","FELG","6VA","FELG","AHY",,"","","","","NRH","Captured with 4 chicks ca. 5 days old. Captured with 4 chicks ca. 5 days old. R1 on right side newer generation, rest old single generation. (TOM WAITS)additional observers -  WGH,  LHD,  JBB,  JAJ, "
"257",2014,"6/21/2014","Alaska","34 MI",64.81957,-166.03745,"R","6UU","FELG","6UU","FELG","AHY",,"","","","","LHD","Captured with brood of 2 chicks today and resampled.additional observers - , , , , "
"259",2014,"6/27/2014","Alaska","Barrel",64.7116,-165.76138,"C","6UX","FELG","6UX","FELG","AHY",,"","","","","NRH","Captured with four chicks (2 days old) and flagged! Captured with 4 chicks ca. 2 days old. (QUIGLEY)additional observers -  WGH,  LHD,  JBB, , "
"260",2014,"6/27/2014","Alaska","Barrel",64.70811,-165.76385,"C","6UV","FELG","6UV","FELG","AHY",,"","","","","NRH","Captured with four chicks (four days old) and flagged! Captured with 4 chicks ca. 4 days old. (HENREY, pronounciation francais)additional observers -  WGH,  LHD,  JBB, , "
"261",2014,"6/23/2014","Alaska","37 MI",64.84716,-166.08542,"C","6XN","FELG","6XN","FELG","AHY",,"","","","","NRH","Captured with four chicks (four days old) and flagged! Captured with 4 chicks ca. 4-5 days old. (JEROME)additional observers -  WGH,  LHD, , , "
"262",2014,"6/25/2014","Alaska","Tombstone",64.94151,-166.20616,"R","6HX","FELG","6HX","FELG","AHY",,"GEO","","Retained","","NRH","Captured with four chicks and GEO REMOVED.additional observers -  WGH,  LHD, , , "
"263",2014,"6/29/2014","Alaska","34 MI",64.81217,-165.96416,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","NRH","Captured with four chicks ca. 3 days old. Captured with 4 chicksca. 3 days old. R1 and R6 newer generation. Symmetrical. Notes on 6HJ capture: After release of 6KP, he was slow to re-find his brood. As we watched 6KP's brood, 6HJ (who had been circling JAadditional observers -  WGH,  LHD,  JBB,  JAJ, "
"264",2014,"6/26/2014","Alaska","34 MI",64.82214,-166.0383,"R","6UN","FELG","6UN","FELG","AHY",,"","","","","NRH","Captured with four chicks. Captured with 4 chicks, ca. 3 days old. Did not band chicks. Bird departed with chicks. Weight double checked.additional observers -  WGH,  LHD, , , "
"267",2014,"6/26/2014","Alaska","37 MI",64.84675,-166.08537,"C","6UP","FELG","6UP","FELG","AHY",,"","","","","NRH","Captured with two chicks and flagged! Captured with 1 chick ca. 4 days old. (ALLEN)additional observers -  WGH,  LHD, , , "
"268",2014,"6/23/2014","Alaska","37 MI",64.85304,-166.0782,"C","6XP","FELG","6XP","FELG","AHY",,"","","","","NRH","Captured with two chicks, appearing to be from different nests (3 days and 6 days old) possibly from 6TE brood who appeared to have a chick that was ~6 days old. Captured with 2 chicks. 1 chick ca. 6 days old, 1 chick ca. 3 days old. One chick possibly fradditional observers -  WGH,  LHD, , , "
"280",2014,"7/3/2014","Alaska","34 MI",64.81459,-165.96434,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","JAJ","Chicks hatched, but still on nest. One chick seen foraging nearby before going in to get brooded by 6EC on nest.additional observers -  NRH, , , , "
"282",2014,"6/20/2014","Alaska","34 MI",64.81374,-165.96942,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","LHD","Chillinadditional observers -  WGH, , , , "
"287",2014,"5/22/2014","Alaska","34 MI",64.81783,-166.0014,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","NRH","Displayed several times as well as had apparently aggressive interactions with other males. Appears to be singleadditional observers - , , , , "
"288",2014,"6/4/2014","Alaska","34 MI",64.81601,-165.9491,"R","6HH","FELG","6HH","FELG","AHY",,"GEO","","Retained","","JAJ","Displaying all over.additional observers - , , , , "
"289",2014,"5/28/2014","Alaska","34 MI",64.82307,-166.0412,"R","6KU","FELG","6KU","FELG","AHY",,"","","","","NRH","Displaying multiple times, no female noted.additional observers - , , , , "
"308",2014,"5/5/2014","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6EL","FELG","6EL","FELG","AHY",,"","","","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"309",2014,"5/5/2014","Washington","Grays Harbor, WA",46.954133,-124.045452,"R","6HV","FELG","6HV","FELG","AHY",,"GEO","","Retained","","Joe et al.","Dummy date used for resighted in spring (full records held by Joe) multiple resights are possible while this only represents its presence."
"320",2014,"6/30/2014","Alaska","Feather East",64.83862,-165.92075,"C","6VN","FELG","6VN","FELG","L",,"","","","","NRH","Flagged today as a chick! Approximately 10 days old, brood of 6VM.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"325",2014,"6/30/2014","Alaska","Feather",64.85101,-165.93948,"C","6VJ","FELG","6VJ","FELG","AHY",,"","","","","NRH","Flagged today within 100m of 6VE. Captured with chick decoy. Bird likely had either a nest or brood around that we could never find. Captured with chick decoy and bownet. Was attempting to brood chick within 7 min of deployment. R1 and R2 are newer generaadditional observers -  WGH,  LHD,  JBB,  JAJ, "
"326",2014,"6/30/2014","Alaska","Feather East",64.83862,-165.92075,"C","6VM","FELG","6VM","FELG","AHY",,"","","","","NRH","Flagged today! Captured with 1 chick ca. 10 days old. R5 on left side newer, rest old.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"327",2014,"6/30/2014","Alaska","Feather",64.85101,-165.93948,"R","6VE","FELG","6VE","FELG","AHY",,"","","","","NRH","Flagged today! Captured with 2 chicks ca. 5 and 8 days old.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"328",2014,"6/30/2014","Alaska","Feather East",64.84377,-165.91496,"C","6VL","FELG","6VL","FELG","AHY",,"","","","","NRH","Flagged today! Captured with 3 chicks ca. 4 days old. Captured with 3 chicks ca. 4 days old. No limits observed in tail.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"329",2014,"6/30/2014","Alaska","Feather",64.84409,-165.95508,"C","6VC","FELG","6VC","FELG","AHY",,"","","","","NRH","Flagged today! Captured with 3 chicks ca. 4 days old. Captured with 3 chicks ca. 4 days old. One obvious runt. R1 on right side is code 1. R2 on right side I newer generation. Rest of rects old. (JASON)additional observers -  WGH,  LHD,  JBB,  JAJ, "
"330",2014,"6/30/2014","Alaska","Feather East",64.84398,-165.91074,"C","6VK","FELG","1JK","FEDG","AHY",,"","","","","NRH","Flagged today! Captured with super talon (JAJ), decoy chick, and chick call. Very responsive to call. After release, the bird flew downslope where we observed him with at least one chick. No brood found, captured with super talon and chick call. Chick decadditional observers -  WGH,  LHD,  JBB,  JAJ, "
"342",2014,"6/7/2014","Alaska","34 MI",64.81293,-165.96591,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","LHD","Foraged together with 6EC for about 4 hours until we lost them.additional observers -  NRH,  JAJ, , , "
"343",2014,"6/7/2014","Alaska","34 MI",64.81293,-165.96591,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","LHD","Foraged together with 6KJ for about 4 hours until we lost them.additional observers -  NRH,  JAJ, , , "
"344",2014,"7/3/2014","Alaska","34 MI",64.81361,-165.93892,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","JAJ","Foraging near 6HJ who had one chick.additional observers -  NRH, , , , "
"345",2014,"6/4/2014","Alaska","34 MI",64.81564,-166.00644,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","JAJ","Foraging on first plateau.additional observers - , , , , "
"347",2014,"6/6/2014","Alaska","34 MI",64.81715,-166.02954,"R","6JH","FELG","1LM","FEDG","AHY",,"","","","","NRH","Foraging singly low near the eastern corner of ridge rdadditional observers - , , , , "
"351",2014,"6/6/2014","Alaska","34 MI",64.82246,-166.03539,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","LHD","Foraging with a Surfbird and then two Buffies around camp!!additional observers -  NRH,  JAJ, , , "
"355",2014,"6/20/2014","Alaska","34 MI",64.80994,-165.95451,"R","6EH","FELG","6EH","FELG","L",,"","","","","LHD","Foraging with flock of plovers as well as 6HE and 6HJ. Sex unknownadditional observers -  WGH, , , , "
"465",2014,"3/12/2014","Mexico","Los Soldados/GSC/MÈxico",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana","General GPS Location"
"466",2014,"3/12/2014","Mexico","Los Soldados/GSC/MÈxico",31.73553,-114.6486,"R","6KT","FELG","6KT","FELG","AHY",,"GEO","","Retained","","Adriana","General GPS Location"
"467",2014,"3/13/2014","Mexico","Los Soldados/GSC/MÈxico",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana","General GPS Location"
"468",2014,"3/24/2014","Mexico","Playa Pueblo/GSC/MÈxico",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana","General GPS Location"
"469",2014,"3/25/2014","Mexico","Playa Pueblo/GSC/MÈxico",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Adriana y Gabriela","General GPS Location"
"470",2014,"3/26/2014","Mexico","Playa Pueblo/GSC/MÈxico",31.73553,-114.6486,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","Gabriela","General GPS Location"
"471",2014,"8/29/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6EV","FELG","6EV","FELG","AHY",,"","","","","---","General GPS Location"
"472",2014,"10/5/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","---","General GPS Location"
"473",2014,"10/23/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6KT","FELG","6KT","FELG","AHY",,"GEO","","Retained","","---","General GPS Location"
"474",2014,"10/25/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","---","General GPS Location"
"475",2014,"10/26/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","---","General GPS Location"
"476",2014,"10/26/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","---","General GPS Location"
"477",2014,"11/28/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6HN","FELG","6HN","FELG","AHY",,"","","","","J.M. Bustamante","General GPS Location"
"478",2014,"11/28/2014","Mexico","Las Cruces/Guerrero Negro/MÈxico",27.929268,-114.146379,"R","6LX","FELG","6LX","FELG","AHY",,"","","","","J.M. Bustamante","General GPS Location"
"545",2014,"5/29/2014","Alaska","Tombstone",64.943356,-166.204585,"R","6HX","FELG","6HX","FELG","AHY",,"GEO","","Retained","","JAJ","General GPS location for site, "
"546",2014,"7/5/2014","Alaska","Feather",64.84805,-165.946374,"C","6VP","FELG","6VP","FELG","L",,"","","","","NRH","General GPS location for site, "
"547",2014,"7/5/2014","Alaska","Feather",64.84805,-165.946374,"C","6VT","FELG","6VT","FELG","L",,"","","","","NRH","General GPS location for site, "
"548",2014,"7/5/2014","Alaska","Feather East",64.841667,-165.912596,"C","6VU","FELG","6VU","FELG","L",,"","","","","NRH","General GPS location for site, "
"582",2014,"5/18/2014","Alaska","34 MI",64.81771,-166.0021,"R","6JE","FELG","6JE","FELG","AHY",,"","","","","Lars Johnson","General GPS location for site, Bird was noted by Lars near where we park the cars, or a little to the north of there.additional observers - , , , , "
"621",2014,"7/4/2014","Alaska","Tombstone",64.943356,-166.204585,"R","6HX","FELG","6HX","FELG","AHY",,"GEO","","Retained","","NRH","General GPS location for site, Observed with 3 chicks, capture attempted, but could not find the 3rd chick. Decided not to mess with them in the shitty weather.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"624",2014,"7/6/2014","Alaska","34 MI",64.817709,-166.002074,"R","6XK","FELG","6XK","FELG","L",,"","","","","LHD","General GPS location for site, Recap to attach flagadditional observers - , , , , "
"625",2014,"7/6/2014","Alaska","34 MI",64.817709,-166.002074,"R","6XL","FELG","6XL","FELG","L",,"","","","","LHD","General GPS location for site, Recap to attach flagadditional observers - , , , , "
"627",2014,"6/20/2014","Alaska","34 MI",64.817709,-166.002074,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","Nils Warnock and Lee Tibbits","General GPS location for site, Seen on their way out to the peak.additional observers - , , , , "
"646",2014,"5/22/2014","Alaska","34 MI",64.81664,-166.0261,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","NRH","GEO bird!! Appeared to be single.additional observers - , , , , "
"649",2014,"6/26/2014","Alaska","37 MI",64.84693,-166.09349,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","NRH","Had FIVE chicks! Chicks captured and banded.additional observers -  WGH,  LHD, , , "
"650",2014,"6/26/2014","Alaska","37 MI",64.85323,-166.082,"R","6XP","FELG","6XP","FELG","AHY",,"","","","","NRH","Had two chicks. Chicks captured and banded.additional observers -  WGH,  LHD, , , "
"662",2014,"7/1/2014","Alaska","34 MI",64.81459,-165.96434,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","JAJ","Incubating nest.additional observers - , , , , "
"668",2014,"7/5/2014","Alaska","Barrel",64.71265,-165.76414,"C","6TL","FELG","6TL","FELG","L",,"","","","","LHD","May have been more than 1 chick.additional observers - , , , , "
"675",2014,"6/1/2014","Alaska","Tombstone",64.9378,-166.20912,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","LHD","Nest checked, three eggs.additional observers - , , , , "
"687",2014,"6/6/2014","Alaska","34 MI",64.81293,-165.96591,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","LHD","Net gun capture attempt. Paired with 6EC, watched by LHD and JAJ for ~4 hours. Copulation observed. Not much else.additional observers -  NRH,  JAJ, , , "
"701",2014,"7/4/2014","Alaska","37 MI",64.85033,-166.08635,"R","6XN","FELG","6XN","FELG","AHY",,"","","","","NRH","Observed with 5 chicks.additional observers -  WGH,  LHD,  JBB,  JAJ, "
"715",2014,"5/30/2014","Alaska","34 MI",64.82004,-166.04562,"R","6UN","FELG","6UN","FELG","AHY",,"","","","","NRH","Paired up and acting suspicious, but no great leads.additional observers - , , , , "
"716",2014,"6/5/2014","Alaska","34 MI",64.81387,-165.96732,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","JAJ","Paired with 6EC. Apparently fairly gravid. JAJ observed birds for ~8 hrs and basically just noted a bunch of foraging.additional observers -  LHD, , , , "
"717",2014,"6/4/2014","Alaska","34 MI",64.8137,-165.96588,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","JAJ","Paired with 6EC. JAJ observed both birds working on a scrape. Possible nest?!additional observers - , , , , "
"718",2014,"6/3/2014","Alaska","34 MI",64.81263,-165.96021,"R","6KJ","FELG","6KJ","FELG","AHY",,"GEO","","Retained","","LHD","Paired with 6EC. Not very gravid.additional observers -  NRH,  JAJ, , , "
"719",2014,"6/1/2014","Alaska","34 MI",64.82304,-166.04065,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","NRH","Paired with 6HP!additional observers - , , , , "
"723",2014,"6/6/2014","Alaska","34 MI",64.81293,-165.96591,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","LHD","Paired with 6KJ, watched by LHD and JAJ for ~4 hours. Copulation observed. Not much else.additional observers -  NRH,  JAJ, , , "
"724",2014,"6/5/2014","Alaska","34 MI",64.81387,-165.96732,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","JAJ","Paired with 6KJ. JAJ observed birds for ~8 hrs and basically just noted a bunch of foraging.additional observers -  LHD, , , , "
"725",2014,"6/4/2014","Alaska","34 MI",64.8137,-165.96588,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","JAJ","Paired with 6KJ. JAJ observed both birds working on a scrape. Possible nest?!additional observers - , , , , "
"726",2014,"5/31/2014","Alaska","34 MI",64.81293,-165.96591,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","JAJ","Paired with 6KJ. just west of peak. Did not observe long due to time constraintsadditional observers - , , , , "
"727",2014,"6/3/2014","Alaska","34 MI",64.81263,-165.96021,"R","6EC","FELG","6EC","FELG","AHY",,"","","","","LHD","Paired with 6KJadditional observers -  NRH,  JAJ, , , "
"728",2014,"6/1/2014","Alaska","34 MI",64.82288,-166.04257,"R","6HP","FELG","6HP","FELG","AHY",,"","","","","NRH","Paired with 6LX. Very gravid today!additional observers - , , , , "
"743",2014,"5/26/2014","Alaska","34 MI",64.81773,-166.0105,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","LHD","Paired, LHD got 7 scrapes from him in 55 minutes. Goood work.additional observers - , , , , "
"744",2014,"5/29/2014","Alaska","Tombstone",64.93822,-166.21114,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","LHD","Paired, nest found by LHD today!additional observers - , , , , "
"745",2014,"5/25/2014","Alaska","Tombstone",64.93855,-166.2096,"R","6HY","FELG","1KY","FEDG","AHY",,"GEO","","Retained","","NRH","Paired, one scrape display.additional observers - , , , , "
"748",2014,"7/5/2014","Alaska","Barrel",64.71037,-165.76273,"C","6HT","FELG","6HT","FELG","L",,"","","","","JBB","Part of 6HN's 2 chick brood.additional observers - , , , , "
