Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2013,JAJ_001,7/1/2013,0:00,34 MI,64.81687,-165.95012,JAJ,Initial Discovery,incubation,N,,,6HH,FELG,,,,,,,,,,,,,||||||||||||||||||||||||||||60||17|1||2|||||20|||40|5|35|2||3|||||12||3|||0|17|353|354||
2013,JAJ_001,7/3/2013,0:00,34 MI,64.81687,-165.95012,JAJ,Fate Determined,hatch,N,,,,,,,,intact,no,N,N,none,none,Y,Y,,Last check on 4 July: incubating. Likely hatch 5 July - rain all day. Brood reduction.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2013,NRH_001,6/28/2013,0:00,Tombstone,64.93937,-166.20778,NRH,Fate Determined,hatch,Y,0,3,,,,,,,,,,,,,,,Likely turned out to be 6HX brood.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2013,NRH_001,6/28/2013,,Tombstone,64.93937,-166.20778,NRH,Initial Discovery,hatch,Y,0,3,6HX,FELG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||likely turned into 6HX brood
2013,TW_001,6/24/2013,0:00,34 MI,64.82383,-166.04584,LHD,Initial Discovery,incubation,Y,4,0,6LX,FELG,,,,,,,,,,,,,"||||||||||||||||||||||||||||7||81|1||1|||||20|||3||75|1||1|||||20|||||0|18|291|288||Bird seen doing distraction display in area by Terry Wild. JJ, LD, NH revisisted the area on 24 June and flushed the male (6LX) off nest."
2013,TW_001,6/26/2013,0:00,34 MI,64.82383,-166.04584,LHD,2,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2013,TW_001,6/28/2013,0:00,34 MI,64.82383,-166.04584,LHD,Fate Determined,hatch,Y,0,4,,,,,,intact,,Y,Y,none,none,Y,Y,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
