"","Year","Region","Location","Area","Site","Latitude","Longitude","CaptureDate","CaptureTime","Species","Bander","Scribe","BandSize","MetalIn","FlagColorIn","FlagCodeIn","UpperLeftIn","LowerLeftIn","UpperRightIn","LowerRightIn","MetalOut","FlagColorOut","FlagCodeOut","UpperLeftOut","LowerLeftOut","UpperRightOut","LowerRightOut","TrackerType1","TrackerStatus1","TrackerID1","TrackerType2","TrackerStatus2","TrackerID2","Disposition","Status","Condition","AgeID","HowAged","FieldSex","CHDSex","HowSex","Culmen","CulmenDepth","CulmenWidth","NaresTip","TotalHead","TarsusDiagonal","Wing","p10","p10Exposed","Fat","Weight","CaptureMethod","NestBroodID","ChickAgeType","ChickHatchDate","ChickAge","FeatherCollected","FeatherType","Blood","BloodQuantity","BloodUse","OtherTests","comments.Tot.Tarsus.Covert.p10_length.Covert.p10_exposed.Weight.Cone_wt.RECAPBTWYR.RECAPWINYR.PHOTOS.MATE.MATE_ATTEND.BROOD_SIZE.REL_STATUS.ffm_p1.ffm_p2.ffm_p3.ffm_p4.ffm_p5.ffm_p6.ffm_p7.ffm_p8.ffm_p9.ffm_p10.ffm_s1.ffm_s2.ffm_s3.ffm_s4.ffm_s5.ffm_s6.ffm_s7.ffm_s8.ffm_s9.ffm_s10.tfm_1.tfm_2.tfm_3.tfm_4.tfm_5.tfm_6.bm_head.bm_neck.bm_back.bm_brst.bm_abd.blood_dna.blood_rna"
"1",2010,5,"KAKAGRAK","TASAYCHEK","",67.27835,-163.77226,"6/7/2010","","REKN","LHD","",2,"","","","",,"","","123233801","FELG","6CA","FELG","","Y","M","","","","","","","1","319","7","AHY","PL","U","","IC",42.2,,,,72.9,34.2,180,,,3,165,"noose","","","",,"Y","p6 cov","Y","","DNA","","||||180|15|N|N|Y|.|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"2",2010,5,"KAKAGRAK","TASAYCHEK","",67.27835,-163.77226,"6/10/2010","","REKN","LHD","",2,"","","","",,"","","123233802","FELG","6CC","FELG","","Y","M","","","","","","","1","319","7","AHY","PL","U","","IC",35.9,,,,65.1,34.3,170,,,3,135,"noose","","","",,"Y","p6 cov","Y","","DNA","","||||155|20|N|N|Y|.|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"3",2010,5,"KAKAGRAK","HILLS","SW009",67.29003,-163.73109,"6/16/2010","","REKN","LHD","",2,"","","","",,"","","123233803","FELG","6CE","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","","IC",40.8,7.3,5.5,,69.3,35.1,170,,,1,130,"Mist","KAK001","","",,"Y","p6 cov","Y","","DNA","","||||145|15|N|N|Y|804|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"4",2010,5,"KAKAGRAK","HILLS","SW009",67.28996,-163.73122,"6/18/2010","","REKN","LHD","",2,"","","","",,"","","123233804","FELG","6CH","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","","IC",32.7,6.2,4.5,,62,33.2,169,,,0,125,"Mist","KAK001","","",,"Y","p6 cov","Y","","DNA","","||||145|20|N|N|Y|803|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"5",2010,5,"NOME","TELLER RD","34 MI",64.81738,-166.0181,"6/19/2010","","REKN","JAJ","",2,"","","","",,"","","123233901","FELG","6JA","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","","IC",38.2,,,,69.7,35.1,171,,,1,139,"Mist","JAJ002","","",,"Y","p6 cov","Y","","DNA","","||||200|61|N|N|Y|903|.|U||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"6",2010,5,"NOME","TELLER RD","34 MI",64.81758,-166.00871,"6/19/2010","","REKN","JAJ","",2,"","","","",,"","","123233902","FELG","6JC","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","","IC",35.7,,,,66,34.8,170,,,2,134,"Mist","JAJ001","","",,"Y","p6 cov","Y","","DNA","","||||158|24|N|N|Y|904|.|U||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"7",2010,5,"CAPE KRUS","BLUFFS","SW037",67.16511,-163.52296,"6/21/2010","","REKN","LHD","",2,"","","","",,"","","123233805","FELG","6CJ","FELG","","Y","M","","","","","","","1","319","7","AHY","PL","U","","IC",34.2,6.5,5,,65.1,33.5,169,,,2,135,"Mist","SW037_001","","",,"Y","p6 cov","Y","","DNA","","||||155|20|N|N|Y|807|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"8",2010,5,"CAPE KRUS","BLUFFS","SW037",67.15888,-163.45731,"6/21/2010","","REKN","LHD","",2,"","","","",,"","","123233806","FELG","6CK","FELG","","Y","M","","","","","","","1","319","7","AHY","PL","U","","IC",36.1,6.8,5.7,,66.4,33.2,168,,,3,140,"Mist","","","",,"Y","p6 cov","Y","","DNA","","||||155|15|N|N|Y|.|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"9",2010,5,"CAPE KRUS","BLUFFS","SW037",67.16511,-163.52296,"6/21/2010","","REKN","LHD","",2,"","","","",,"","","123233807","FELG","6CL","FELG","","Y","M","","","","","","","1","319","7","AHY","PL","U","","IC",37,6.9,5.8,,68.1,35.8,168,,,2,140,"Mist","SW037_001","","",,"Y","p6 cov","Y","","DNA","","||||160|20|N|N|Y|805|.|.||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"10",2010,5,"NOME","TELLER RD","34 MI",64.81758,-166.009,"6/21/2010","","REKN","JAJ","",2,"","","","",,"","","123233903","FELG","6JE","FELG","","GEO","M","GEO","New","","","","","1","319","7","AHY","PL","U","","IC",36.6,,,,68.3,34.7,175,,,2,126,"Mist","JAJ001","","",,"Y","p6 cov","Y","","DNA","","||||150|24|N|N|Y|901|.|U||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
